boundary_definition,quantile,budget,matched_run_count,mean_binary_minus_random_accuracy,median_binary_minus_random_accuracy,sd_binary_minus_random_accuracy,ci95_lower,ci95_upper
B2,30,64,20,0.04,0.06,0.0608708728202,0.0115115545888,0.0684884454112
B2,30,65,20,0.042,0.06,0.060140187107,0.0138535260291,0.0701464739709
B2,30,66,20,0.04,0.06,0.0608708728202,0.0115115545888,0.0684884454112
B2,30,67,20,0.04,0.06,0.0608708728202,0.0115115545888,0.0684884454112
B2,30,68,20,0.036,0.04,0.0578928229349,0.00890532483816,0.0630946751618
B2,30,69,20,0.036,0.04,0.0578928229349,0.00890532483816,0.0630946751618
B2,30,70,20,0.032,0.04,0.0512578620414,0.00801058212235,0.0559894178776
B2,30,71,20,0.034,0.04,0.0569764494285,0.00733420084083,0.0606657991592
B2,30,72,20,0.032,0.04,0.0559699167316,0.00580527264347,0.0581947273565
B2,30,73,20,0.03,0.04,0.0563821546983,0.00361233933621,0.0563876606638
B2,30,74,20,0.03,0.04,0.0563821546983,0.00361233933621,0.0563876606638
B2,30,75,20,0.03,0.04,0.0563821546983,0.00361233933621,0.0563876606638
B2,30,76,20,0.03,0.04,0.057856446668,0.00292234945509,0.0570776505449
B2,30,77,20,0.032,0.06,0.0574547877168,0.00511033163075,0.0588896683692
B2,30,78,20,0.034,0.06,0.0569764494285,0.00733420084083,0.0606657991592
B2,30,79,20,0.032,0.04,0.0559699167316,0.00580527264347,0.0581947273565
B2,30,80,20,0.032,0.04,0.0544445637903,0.00651915979489,0.0574808402051
B3,20,16,20,0.0647058823529,0.0588235294118,0.0971268173508,0.019249132583,0.110162632123
B3,20,17,20,0.0617647058824,0.0588235294118,0.115262205731,0.0078203330846,0.11570907868
B3,20,18,20,0.0764705882353,0.0588235294118,0.101167830288,0.0291225861941,0.123818590277
B3,20,19,20,0.0411764705882,0.0588235294118,0.0741613709549,0.00646788058151,0.075885060595
B3,20,20,20,0.0588235294118,0.0588235294118,0.095424365371,0.0141635516946,0.103483507129
B3,20,21,20,0.0676470588235,0.0588235294118,0.0745898760453,0.0327379222613,0.102556195386
B3,20,22,20,0.0647058823529,0.0882352941176,0.100807159514,0.0175266794303,0.111885085276
B3,20,23,20,0.0647058823529,0.0588235294118,0.0736685989133,0.0302279167607,0.0991838479452
B3,20,24,20,0.0558823529412,0.0588235294118,0.0774643690012,0.0196279122644,0.092136793618
B3,20,25,20,0.0705882352941,0.0588235294118,0.0946578921927,0.0262869780666,0.114889492522
B3,20,26,20,0.0735294117647,0.0588235294118,0.100761984894,0.026371351215,0.120687472314
B3,20,27,20,0.0617647058824,0.0588235294118,0.0944170932979,0.0175761460066,0.105953265758
B3,20,28,20,0.0441176470588,0.0588235294118,0.120514589004,-0.0122849167788,0.100520210896
B3,20,29,20,0.0411764705882,0.0588235294118,0.13907098688,-0.0239107547866,0.106263695963
B3,20,30,20,0.0176470588235,0.0294117647059,0.109800235822,-0.0337410333695,0.0690351510165
B3,20,31,20,0.0352941176471,0.0294117647059,0.0818649851692,-0.00301987479349,0.0736081100876
B3,20,32,20,0.0264705882353,0.0294117647059,0.09047719462,-0.0158740422993,0.0688152187699
B3,20,33,20,0.0352941176471,0.0588235294118,0.098059853349,-0.0105993064117,0.0811875417058
B3,20,34,20,0.0294117647059,0.0294117647059,0.0884929159626,-0.0120041948307,0.0708277242425
B3,20,35,20,0.0382352941176,0.0588235294118,0.0745898760453,0.00332615755538,0.0731444306799
B3,20,36,20,0.0323529411765,0,0.0820316598959,-0.00603905743735,0.0707449397903
B3,20,37,20,0.0294117647059,0.0294117647059,0.0864104379997,-0.011029565143,0.0698530945548
B3,20,38,20,0.0235294117647,0,0.0796093173975,-0.0137288956626,0.060787719192
B3,20,39,20,0.0294117647059,0.0294117647059,0.0701223012564,-0.00340648249342,0.0622300119052
B3,20,40,20,0.0382352941176,0.0294117647059,0.0815864372872,5.16660987398e-05,0.0764189221366
B3,20,41,20,0.0411764705882,0.0588235294118,0.0789200462647,0.00424075198103,0.0781121891954
