model,subset,metric,mean,sd_across_repeats,repeat_blocks
width_dynamics,q20,conduction_recall,0.9956904504225934,0.008853880031264033,20
width_dynamics,q20,false_negative,29.65,1.5312533566021216,20
width_dynamics,q20,false_positive,0.2,0.41039134083406165,20
width_dynamics,q20,brier_score,0.27548819477327113,0.010263929579042866,20
width_dynamics,q30,roc_auc,0.5220046169582038,0.023228170023367623,20
width_dynamics,q30,pr_auc,0.4060905663436096,0.027079873057713037,20
width_dynamics,q30,accuracy,0.6654199507762165,0.014292275826905754,20
width_dynamics,q30,balanced_accuracy,0.503960574010592,0.008884133548819782,20
width_dynamics,q30,keyhole_recall,0.012059275875065348,0.013684195537037112,20
width_dynamics,q30,conduction_recall,0.9958618721461188,0.007897306446297787,20
width_dynamics,q30,false_negative,37.0,1.1697953037312037,20
width_dynamics,q30,false_positive,0.3,0.5712405705774793,20
width_dynamics,q30,brier_score,0.24038807132672932,0.006140866217454721,20
