experiment_name,has_keyhole,onset_available,first_keyhole_monitor_row_index,first_keyhole_time_s,first_keyhole_tau,peak_dWdt_tau,peak_minus_first_keyhole_ms,peak_precedes_first_observed_keyhole,robust_peak_dWdt_tau,robust_peak_minus_first_keyhole_ms,robust_peak_precedes_first_observed_keyhole,result_type,warning_threshold_fitted
P-413p458184039_VX-0p35207482727_LS-4p49853708666e-05_ST-303p358380963_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37019753455e-05_H-ff013f97fe,1,True,38444.0,0.0006988076,0.1486345449533311,0.47,0.5289101110000002,False,0.0,-0.24462589999999984,True,descriptive_peak_timing_not_learned_warning,False
P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155,1,True,25337.0,0.00046073,0.2660410126513284,0.015,-0.261606877,True,0.01,-0.26681731799999997,True,descriptive_peak_timing_not_learned_warning,False
P-422p617573631_VX-0p52186874631_LS-4p33544604908e-05_ST-334p849986924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p24393468113e-06_H-eac21b41c2,1,True,27961.0,0.000508428,0.1117514150626856,0.025,-0.1544827124999999,True,0.035,-0.13667519749999996,True,descriptive_peak_timing_not_learned_warning,False
P-423p354289604_VX-0p98992750487_LS-4p35270321082e-05_ST-379p923005206_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p87320594618e-06_H-4d45e0bf17,1,True,20637.0,0.0003752375,0.2246197011346409,0.13,-0.088672957,True,0.01,-0.20113108899999996,True,descriptive_peak_timing_not_learned_warning,False
P-426p513929333_VX-0p671876042338_LS-4p21074124626e-05_ST-335p829973615_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p18007533983e-06_H-ff013f97fe,1,True,24482.0,0.0004451777,0.1468693046706009,0.505,0.4946413780000001,False,0.04,-0.14760527599999998,True,descriptive_peak_timing_not_learned_warning,False
P-429p223744451_VX-0p993777087019_LS-4p49939505126e-05_ST-337p477091824_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p8543286679e-06_H-c87ffcf9e3,1,True,19757.0,0.0003592304,0.2098738614340904,0.015,-0.1821135015,True,0.015,-0.18211350150000002,True,descriptive_peak_timing_not_learned_warning,False
P-433p517899565_VX-0p4209966739_LS-4p21798941345e-05_ST-396p810205947_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1458809302e-05_H-204261a8b1,1,True,32776.0,0.0005958722,0.1235959089005895,0.24,0.199778824,False,0.0,-0.21212179999999986,True,descriptive_peak_timing_not_learned_warning,False
P-435p358668153_VX-0p616312825798_LS-4p12302442682e-05_ST-330p720611029_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p82738960003e-06_H-4dbd940f3b,1,True,24537.0,0.0004461781,0.1207300955334154,0.415,0.4430093045,False,0.055,-0.09895352349999997,True,descriptive_peak_timing_not_learned_warning,False
P-438p134561959_VX-0p25154969533_LS-4p05773405909e-05_ST-340p985774893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p91776046347e-05_H-dfeedce527,1,True,50653.0,0.0009205327,0.1905225684147472,0.085,-0.1537544229999999,True,0.0,-0.2776058999999999,True,descriptive_peak_timing_not_learned_warning,False
P-440p884222701_VX-0p405879510898_LS-4p4918885946e-05_ST-386p365641032_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p18855977537e-05_H-410a3c6302,1,True,35961.0,0.0006537143,0.152745736264904,0.68,0.9000390040000003,False,0.0,-0.26074159999999996,True,descriptive_peak_timing_not_learned_warning,False
P-445p244311553_VX-0p680564934933_LS-4p06442633709e-05_ST-341p721757622_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p0884060512e-06_H-c87ffcf9e3,1,True,26118.0,0.0004749363,0.1723294177391314,0.26,0.11946616,False,0.395,0.3034267450000001,False,descriptive_peak_timing_not_learned_warning,False
P-446p579563616_VX-0p74347743801_LS-4p27116473193e-05_ST-393p115972114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p48859044859e-06_H-4a563c0a8f,1,True,24979.0,0.000454218,0.1890035706914113,0.265,0.094919677,False,0.005,-0.22982079099999997,True,descriptive_peak_timing_not_learned_warning,False
P-446p862811862_VX-0p39827443832_LS-4p33402817419e-05_ST-361p067570798_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p21125539047e-05_H-4b0ba6b8ba,1,True,34648.0,0.0006298692,0.1338948051319897,0.94,1.3682893260000004,False,0.0,-0.22727409999999987,True,descriptive_peak_timing_not_learned_warning,False
