tau,has_keyhole,metric,median,q25,q75,n
0.215,1,dWdt_robust_um_per_ms,397.1068383726281,298.62485454268887,587.5739326355697,70
0.22,0,width_um,191.05582152540833,165.07568193399004,202.59331831593403,280
0.22,0,dWdt_um_per_ms,-1040.5009654291382,-1637.498169279759,-148.53111730009482,280
0.22,0,dWdt_robust_um_per_ms,459.0861870193264,305.48580672806395,640.1931603128637,280
0.22,1,width_um,193.51954155494505,157.24264038461538,198.1962995192308,70
0.22,1,dWdt_um_per_ms,20.634283298411418,-467.8294395203993,477.55035567899637,70
0.22,1,dWdt_robust_um_per_ms,393.9919974373744,298.80634307078,601.5796446256809,70
0.225,0,width_um,194.30073473901103,166.6548646684069,207.1420066138971,280
0.225,0,dWdt_um_per_ms,-1040.8234965585998,-1574.4243468654818,-272.1685451185292,280
0.225,0,dWdt_robust_um_per_ms,442.44688212583424,302.23059725512417,641.7897053499447,280
0.225,1,width_um,197.25784287774724,160.64639827680094,202.0681199240331,70
0.225,1,dWdt_um_per_ms,-88.83801407053026,-791.3698459674487,454.2412218710392,70
0.225,1,dWdt_robust_um_per_ms,365.54415878086604,280.33328563797073,605.8732496747357,70
0.23,0,width_um,198.4761613186813,168.57727345896,210.2954969615385,280
0.23,0,dWdt_um_per_ms,-1057.1019228542732,-1628.9246623133563,-102.17451251657221,280
0.23,0,dWdt_robust_um_per_ms,437.3488479561112,296.56365669702427,611.9171571435776,280
0.23,1,width_um,200.26824893019545,161.40126828983517,205.67135235922228,70
0.23,1,dWdt_um_per_ms,-286.0656019029333,-731.5782581650067,445.72205230845657,70
0.23,1,dWdt_robust_um_per_ms,361.5171002246507,299.0780892397855,554.110541625418,70
0.23500000000000001,0,width_um,201.76890304228644,171.17682453762998,214.03345455906594,280
0.23500000000000001,0,dWdt_um_per_ms,-1135.2440456738302,-1629.7388600381335,-268.41735494863,280
0.23500000000000001,0,dWdt_robust_um_per_ms,427.05050582751585,291.7526750163387,605.2326818075654,280
0.23500000000000001,1,width_um,204.3723752190972,163.67129849038463,208.82344613052484,70
0.23500000000000001,1,dWdt_um_per_ms,-84.33014908831058,-529.3966449176934,356.36004451591174,70
0.23500000000000001,1,dWdt_robust_um_per_ms,360.9582313183714,293.5468657965349,542.0587541370838,70
0.24,0,width_um,204.98106459340653,171.65958157243034,217.36956289235627,280
0.24,0,dWdt_um_per_ms,-1167.1795345416579,-1653.313513038895,-116.33338982859631,280
0.24,0,dWdt_robust_um_per_ms,424.1202856610056,290.47449597557113,595.2447925482807,280
0.24,1,width_um,207.34790863784832,167.20236730471737,212.09943902009593,70
0.24,1,dWdt_um_per_ms,130.79151262829402,-346.12629214750336,425.7985858189487,70
0.24,1,dWdt_robust_um_per_ms,387.9310652246386,297.8426610781163,514.1638448535623,70
0.245,0,width_um,208.30203282005496,175.4896379052918,220.82812543307932,280
0.245,0,dWdt_um_per_ms,-1071.0923884548351,-1500.0589600054186,-169.37799103277456,280
0.245,0,dWdt_robust_um_per_ms,442.3694597699017,304.69355395060967,585.4175141774222,280
0.245,1,width_um,211.3751130837912,169.72816630870165,216.51258968590247,70
0.245,1,dWdt_um_per_ms,38.202015342935546,-478.8226406577168,336.3876190224919,70
0.245,1,dWdt_robust_um_per_ms,398.67892146362874,276.99667320916257,564.3686385433843,70
0.25,0,width_um,211.0796499886163,177.32892537983432,225.021224793956,280
0.25,0,dWdt_um_per_ms,-1084.6661323037947,-1524.1575246283733,-243.15819071959538,280
0.25,0,dWdt_robust_um_per_ms,414.93960632502376,298.5872168401857,598.1433783669323,280
0.25,1,width_um,214.6616924033149,171.90012590113326,219.41883750000005,70
0.25,1,dWdt_um_per_ms,-10.74666163796319,-396.8464390651958,353.021002419117,70
0.25,1,dWdt_robust_um_per_ms,378.41843007457516,278.1593854359385,608.1547477036265,70
0.255,0,width_um,214.17132675824172,179.66328736744512,228.07472944772636,280
0.255,0,dWdt_um_per_ms,-1112.2800082046388,-1620.0488814387616,-361.9760323860419,280
0.255,0,dWdt_robust_um_per_ms,411.450573354804,283.80580394932963,609.7754992919355,280
0.255,1,width_um,218.47512129818315,172.59674447949425,223.25932678684123,70
0.255,1,dWdt_um_per_ms,22.19791897626166,-416.5894131702803,577.6913707024861,70
0.255,1,dWdt_robust_um_per_ms,374.15816592786103,289.50871693317646,602.6631761664573,70
0.26,0,width_um,217.03614071428575,181.64534852525645,231.5160870824176,280
0.26,0,dWdt_um_per_ms,-1095.1257561239918,-1570.2457322005075,-309.7439572329257,280
0.26,0,dWdt_robust_um_per_ms,399.79830403648936,282.6914295322026,582.5918869784249,280
0.26,1,width_um,219.6623866016028,175.4776044361259,227.75203179395606,70
0.26,1,dWdt_um_per_ms,-89.30479119383213,-654.3990120043184,256.66711393235704,70
0.26,1,dWdt_robust_um_per_ms,376.17380197759593,283.2444302204056,592.2726200814619,70
0.265,0,width_um,220.4091481758242,182.8367482967033,234.77475367846128,280
0.265,0,dWdt_um_per_ms,-1093.0615117834411,-1567.7356342305432,-432.92733226154,280
0.265,0,dWdt_robust_um_per_ms,410.2232759559355,285.44886817949066,572.2622346386825,280
0.265,1,width_um,223.9965384875994,179.11864759065932,231.31404792045112,70
