budget,model,metric,mean,ci_lower,ci_upper,repeat_blocks
40,H,p01,2.726839327643093e-06,3.667699424090955e-08,8.008104176896261e-06,20
40,H,p10,7.12342003645623e-05,1.8720559502863948e-05,0.00014520694332885084,20
40,H,p50,0.014371133202625608,0.009595798193319328,0.01963225006729337,20
40,H,p90,0.9435045162645397,0.9289446843734535,0.9573223207761284,20
40,H,p99,0.9996820730623066,0.9992371731465943,0.9999276103426576,20
40,M3,brier_score,0.03144542769046928,0.029969491713366384,0.033040219396768086,20
40,M3,log_loss,0.13115716243983438,0.11269106417062941,0.16062554782053046,20
40,M3,ECE_10_equal_width,0.03886866996302353,0.034071452519881376,0.04420946870434183,20
40,M3,accuracy,0.9648148148148147,0.9634567901234566,0.9661728395061729,20
40,M3,balanced_accuracy,0.9331211833635914,0.9302648951972273,0.9360044716537379,20
40,M3,fraction_p_0_01,0.4485185185185186,0.40827160493827164,0.48888888888888893,20
40,M3,fraction_p_01_10,0.23172839506172843,0.20716049382716056,0.2575308641975308,20
40,M3,fraction_p_10_90,0.21037037037037037,0.18864197530864202,0.2335802469135803,20
40,M3,fraction_p_90_99,0.05320987654320987,0.048888888888888885,0.05691666666666663,20
40,M3,fraction_p_99_1,0.056172839506172835,0.047901234567901234,0.06481481481481481,20
40,M3,p01,1.4743791313859364e-06,6.096468535281114e-12,4.422300917100985e-06,20
40,M3,p10,9.222891665439522e-05,1.1476561441600039e-05,0.00021556766841591987,20
40,M3,p50,0.020070460974159186,0.013930480278294173,0.026766774065117523,20
40,M3,p90,0.9237690587111981,0.9058614387275158,0.9408052446572005,20
40,M3,p99,0.9995388520222855,0.9987787370690293,0.9999472708377616,20
60,H,brier_score,0.031074388290030182,0.030376818024736078,0.03192834173263853,20
60,H,log_loss,0.1246751017029238,0.1083063932131959,0.15364427120921362,20
60,H,ECE_10_equal_width,0.02417884416338484,0.022439559128695906,0.025832573102498157,20
60,H,accuracy,0.9614814814814816,0.9602469135802469,0.9627160493827158,20
60,H,balanced_accuracy,0.9254775953127579,0.9230803350387851,0.9278409958326458,20
60,H,fraction_p_0_01,0.5220987654320988,0.49864197530864196,0.5461728395061729,20
60,H,fraction_p_01_10,0.2058024691358024,0.18629629629629627,0.2248148148148148,20
60,H,fraction_p_10_90,0.15012345679012346,0.14123456790123456,0.1591358024691358,20
60,H,fraction_p_90_99,0.059259259259259255,0.055308641975308645,0.06308641975308643,20
60,H,fraction_p_99_1,0.06271604938271605,0.05617283950617284,0.06901543209876539,20
60,H,p01,7.384151614114109e-07,7.93725813105362e-08,1.931553375590306e-06,20
60,H,p10,3.804288902539831e-05,1.748516830939869e-05,6.461281988756599e-05,20
60,H,p50,0.00876938463262198,0.006911664040128959,0.01082070140206728,20
60,H,p90,0.9509927633162061,0.9421191827245503,0.9596262260516187,20
60,H,p99,0.9996906942202586,0.9994410429028452,0.9998681591678499,20
60,M3,brier_score,0.028248482890628673,0.02733738991759598,0.02926616123431628,20
60,M3,log_loss,0.11728084465567168,0.10074028206447512,0.14605537629184487,20
60,M3,ECE_10_equal_width,0.03233155500916571,0.02937669627860005,0.03519257440410979,20
60,M3,accuracy,0.9680246913580246,0.9661728395061727,0.9696296296296296,20
60,M3,balanced_accuracy,0.9334760273972604,0.9294076992903119,0.9373263430434066,20
60,M3,fraction_p_0_01,0.47975308641975306,0.4564197530864197,0.504074074074074,20
60,M3,fraction_p_01_10,0.2360493827160494,0.217037037037037,0.2544444444444444,20
60,M3,fraction_p_10_90,0.1734567901234568,0.1624691358024691,0.1845679012345679,20
60,M3,fraction_p_90_99,0.05493827160493827,0.051604938271604936,0.05827160493827159,20
60,M3,fraction_p_99_1,0.05580246913580247,0.04950617283950617,0.061851851851851845,20
60,M3,p01,1.4653705405666912e-08,6.18202166119103e-11,4.3158710732268383e-08,20
60,M3,p10,2.775251490899502e-05,7.74424739607404e-06,5.428889784747904e-05,20
60,M3,p50,0.012610610282399598,0.010398410142580684,0.014849802188219111,20
60,M3,p90,0.928806026034116,0.9160559488045484,0.9412149894524583,20
60,M3,p99,0.9996555308502778,0.9993150895750147,0.9998862233267745,20
80,H,brier_score,0.029704328504275956,0.02930713185793038,0.030235915077875267,20
80,H,log_loss,0.10512743814810736,0.1027288202429361,0.10795929473699706,20
80,H,ECE_10_equal_width,0.01866610738803897,0.01695906071475846,0.020415857239385694,20
80,H,accuracy,0.961604938271605,0.9606172839506172,0.9624691358024693,20
80,H,balanced_accuracy,0.9250185674203664,0.9231143753094571,0.9270321010067668,20
80,H,fraction_p_0_01,0.5834567901234569,0.5729629629629629,0.5935802469135802,20
80,H,fraction_p_01_10,0.15567901234567902,0.1471604938271605,0.1648148148148148,20
80,H,fraction_p_10_90,0.1303703703703704,0.12691358024691357,0.13407407407407407,20
80,H,fraction_p_90_99,0.06061728395061727,0.057530864197530875,0.06382716049382715,20
80,H,fraction_p_99_1,0.06987654320987655,0.06604629629629628,0.07370370370370372,20
80,H,p01,1.6279125777497482e-07,6.60437918272403e-08,2.8117512409484866e-07,20
80,H,p10,1.223084112015041e-05,8.466180412904183e-06,1.6538655317094578e-05,20
80,H,p50,0.00422553998540169,0.003645099480481217,0.004829008614121558,20
80,H,p90,0.9669948809107531,0.9621705871477917,0.971509191039466,20
80,H,p99,0.999831082740655,0.9997818667184634,0.9998761320614964,20
80,M3,brier_score,0.02633216794266292,0.02585737781846534,0.026823165957318405,20
80,M3,log_loss,0.09499028929353544,0.0925198428895867,0.09765292307657544,20
80,M3,ECE_10_equal_width,0.024149349461134728,0.022351123533796338,0.026051684654822375,20
80,M3,accuracy,0.9691358024691358,0.9675308641975308,0.9707407407407407,20
80,M3,balanced_accuracy,0.933619409143423,0.9292426555537217,0.9376536969796995,20
80,M3,fraction_p_0_01,0.5509876543209877,0.5396296296296297,0.5620987654320988,20
80,M3,fraction_p_01_10,0.18395061728395062,0.1749382716049383,0.19333333333333336,20
80,M3,fraction_p_10_90,0.14407407407407408,0.1387654320987654,0.14950617283950615,20
80,M3,fraction_p_90_99,0.0562962962962963,0.05271604938271605,0.05975308641975309,20
80,M3,fraction_p_99_1,0.06469135802469136,0.06209876543209876,0.06765432098765432,20
80,M3,p01,6.367873547145074e-11,4.196872738836401e-12,1.36908754114263e-10,20
80,M3,p10,2.14776764096314e-06,8.598651488114235e-07,3.7194040901056294e-06,20
80,M3,p50,0.0062696316507526205,0.005415468330822016,0.0071290364787233275,20
80,M3,p90,0.9437413362605878,0.9374533363120942,0.949731753055731,20
80,M3,p99,0.999845488716925,0.9997739659936379,0.999906395146295,20
