simulation_id,population_row_index,P_W,VX_m_per_s,LS_m,ST_K,has_keyhole,partition,XI_m,XF_m,XL_m,TE_s,DT_s,material,folder_hash,domain_max_x_m,observation_duration_s,max_depth_um,first_keyhole_timestep,keyhole_frame_count,configuration_group,domain_mapping_expected_m,domain_mapping_absolute_error_m,t_90pct_domain_s,observation_completion_ratio,observation_ends_before_90pct_domain_from_TE,observation_ends_before_90pct_domain,TE_vs_time_dat_flag_mismatch
P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,40,199.601335125,0.449852506485,5.7030843283e-05,364.706449651,False,new-data,0.0002,0.0014,0.0012,0.0021,1.07237828699e-05,TI64,1d842653b1,0.001212,0.0021,82.90426,,0,CFG_MAIN,0.001212,0.0,0.0024247947588936507,0.86605268025165,True,True,False
P-203p030488295_VX-0p654564663741_LS-6p39602473907e-05_ST-333p568221635_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p36996796534e-06_H-0e4c2fc094,41,203.030488295,0.654564663741,6.39602473907e-05,333.568221635,False,new-data,0.0002,0.0014,0.0012,0.0021,7.36996796534e-06,TI64,0e4c2fc094,0.001212,0.0021,70.64577,,0,CFG_MAIN,0.001212,0.0,0.0016664510940230207,1.2601629940008248,False,False,False
P-203p317554156_VX-0p724937635215_LS-5p40301996917e-05_ST-325p306920736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p65453187788e-06_H-dfd65b549a,42,203.317554156,0.724937635215,5.40301996917e-05,325.306920736,False,new-data,0.0002,0.0014,0.0012,0.0021,6.65453187788e-06,TI64,dfd65b549a,0.001212,0.0021,66.93857,,0,CFG_MAIN,0.001212,0.0,0.0015046811574025863,1.3956445122400989,False,False,False
P-204p071587815_VX-0p957219619336_LS-8p8582220221e-05_ST-334p090301355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03972182096e-06_H-676863bc48,43,204.071587815,0.957219619336,8.8582220221e-05,334.090301355,False,new-data,0.0002,0.0014,0.0012,0.0021,5.03972182096e-06,TI64,676863bc48,0.001212,0.0021,47.24953,,0,CFG_MAIN,0.001212,0.0,0.0011395503998932466,1.8428320504268425,False,False,False
P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,44,207.432942583,0.674802143379,5.74396795379e-05,382.34582068,False,new-data,0.0002,0.0014,0.0012,0.0021,7.14894084192e-06,TI64,676863bc48,0.001212,0.0021,70.88922,,0,CFG_MAIN,0.001212,0.0,0.0016164738222939467,1.2991240384084157,False,False,False
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,45,208.096600196,0.256636148953,4.52492384214e-05,395.602757306,True,new-data,0.0002,0.0014,0.0012,0.0021,1.87975101041e-05,TI64,1980b1708d,0.001212,0.0021,158.3638,65174.0,14,CFG_MAIN,0.001212,0.0,0.004250375500295431,0.4940739941339383,True,True,False
P-209p47686991_VX-0p866693950214_LS-6p90699464413e-05_ST-369p570871734_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56611777644e-06_H-b021dd2b47,46,209.47686991,0.866693950214,6.90699464413e-05,369.570871734,False,new-data,0.0002,0.0014,0.0012,0.0021,5.56611777644e-06,TI64,b021dd2b47,0.001212,0.0021,59.03557,,0,CFG_MAIN,0.001212,0.0,0.0012585757633714473,1.668552709432893,False,False,False
P-210p211145159_VX-0p921242046338_LS-8p23126060485e-05_ST-311p238003519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p23653975868e-06_H-0e4c2fc094,47,210.211145159,0.921242046338,8.23126060485e-05,311.238003519,False,new-data,0.0002,0.0014,0.0012,0.0021,5.23653975868e-06,TI64,0e4c2fc094,0.001212,0.0021,51.40045,,0,CFG_MAIN,0.001212,0.0,0.001184053641858841,1.7735682960302528,False,False,False
P-210p302841339_VX-0p779412575788_LS-5p86430912284e-05_ST-304p177226769_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p18943131388e-06_H-c15424829d,48,210.302841339,0.779412575788,5.86430912284e-05,304.177226769,False,new-data,0.0002,0.0014,0.0012,0.0021,6.18943131388e-06,TI64,c15424829d,0.001212,0.0021,63.04418,,0,CFG_MAIN,0.001212,0.0,0.0013995155247491123,1.5005192603179316,False,False,False
P-210p331349445_VX-0p877062157481_LS-5p88084341536e-05_ST-346p930868597_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p50031780743e-06_H-0e4c2fc094,49,210.331349445,0.877062157481,5.88084341536e-05,346.930868597,False,new-data,0.0002,0.0014,0.0012,0.0021,5.50031780743e-06,TI64,0e4c2fc094,0.001212,0.0021,59.113809999999994,,0,CFG_MAIN,0.001212,0.0,0.0012436974856296092,1.688513504501375,False,False,False
