challenger,subset,metric,effect,mean,ci_low,ci_high,positive_repeat_blocks
M3_T3,B1_q20,pr_auc,TOTAL,-0.05133622015285717,-0.061975884882226454,-0.04179013914665045,0
M3_T3,B1_q20,pr_auc,MODEL,-0.03843071138572475,-0.04580449970251815,-0.032230437445136366,0
M3_T3,B1_q20,pr_auc,PATH,-0.01290550876713241,-0.017189305793612095,-0.00868412435288102,2
M3_T3,B1_q30,accuracy,TOTAL,-0.029243750000000002,-0.035575234375000035,-0.023571874999999985,0
M3_T3,B1_q30,accuracy,MODEL,-0.018553125000000007,-0.021865664062499977,-0.015406210937499993,0
M3_T3,B1_q30,accuracy,PATH,-0.010690624999999995,-0.014496874999999998,-0.007213828124999996,2
M3_T3,B1_q30,balanced_accuracy,TOTAL,-0.03365195025220362,-0.041287236072650974,-0.026398248216812543,0
M3_T3,B1_q30,balanced_accuracy,MODEL,-0.01922121666311118,-0.022996778254155158,-0.015587752556496783,0
M3_T3,B1_q30,balanced_accuracy,PATH,-0.014430733589092437,-0.018982856008139187,-0.00993033103338938,1
M3_T3,B1_q30,keyhole_recall,TOTAL,-0.04655716765873016,-0.061389785691738814,-0.031979489157760624,2
M3_T3,B1_q30,keyhole_recall,MODEL,-0.020875343840187584,-0.026997524350649352,-0.014895659264238355,1
M3_T3,B1_q30,keyhole_recall,PATH,-0.02568182381854257,-0.0357915370220058,-0.01567829459494499,3
M3_T3,B1_q30,roc_auc,TOTAL,-0.034351113382507,-0.04093973160159852,-0.028208271376912775,0
