budget,log_P_median,log_P_q25,log_P_q75,log_P_physics,log_VX_median,log_VX_q25,log_VX_q75,log_VX_physics,log_LS_median,log_LS_q25,log_LS_q75,log_LS_physics
71,1.0,1.0,1.0,1.0,-0.492641539905641,-0.5209761358177577,-0.4648084562755894,-0.5,-1.4206192692593462,-1.508845994609481,-1.3424810173360189,-1.5
72,1.0,1.0,1.0,1.0,-0.4919860294965205,-0.519587239570523,-0.4633203035187962,-0.5,-1.428853244261444,-1.5103388916690308,-1.3488093679889313,-1.5
73,1.0,1.0,1.0,1.0,-0.49199266628003024,-0.5200410839608225,-0.4629106491944005,-0.5,-1.4272167518775085,-1.5140447797831453,-1.3478962345226533,-1.5
74,1.0,1.0,1.0,1.0,-0.49124730514150317,-0.5201409072551602,-0.4645786846064939,-0.5,-1.42545290501507,-1.5149860405459634,-1.3492310967946097,-1.5
75,1.0,1.0,1.0,1.0,-0.49240855676913775,-0.5194971910423293,-0.46386850231112237,-0.5,-1.4257293216143694,-1.511268485070261,-1.3514095472186864,-1.5
76,1.0,1.0,1.0,1.0,-0.49386260081512623,-0.5179832375590383,-0.46457320013159475,-0.5,-1.4258819561404623,-1.5149974222705462,-1.3513739539638996,-1.5
77,1.0,1.0,1.0,1.0,-0.4938362940455817,-0.516315824685809,-0.4652998947624536,-0.5,-1.4278935854709243,-1.5147907168790342,-1.3494081088633874,-1.5
78,1.0,1.0,1.0,1.0,-0.4935700821454601,-0.5156319499120727,-0.46547304992107863,-0.5,-1.420988280551231,-1.5153903530508441,-1.3498233065161243,-1.5
79,1.0,1.0,1.0,1.0,-0.49267557892701563,-0.5171632937063227,-0.46539140534290885,-0.5,-1.425802438462814,-1.5172085749891902,-1.3498338475586686,-1.5
80,1.0,1.0,1.0,1.0,-0.4910573623784409,-0.5172281634717641,-0.4668698967355762,-0.5,-1.4331154892104567,-1.514126492190165,-1.3497424114004948,-1.5
