run_id,repeat,fold,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,true_negative,true_positive,row_count,fit_status,kernel,residual_sd,length_scale,residual_sd_lower_bound_hit,residual_sd_upper_bound_hit,length_scale_lower_bound_hit,length_scale_upper_bound_hit,convergence_warning,warning_text
w85__r03_f05,3,5,physics_ridge_residual_gp,full81,1.0,1.0,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.302, physics_prior_sd=5)",1.0,1.3019924453401126,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f05,3,5,physics_ridge_residual_gp,B1_q30,1.0,0.9999999999999999,0.92,0.9,0.8,1.0,2,0,15,8,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.302, physics_prior_sd=5)",1.0,1.3019924453401126,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f05,3,5,physics_ridge_residual_gp,B1_q20,1.0,1.0,0.8823529411764706,0.875,0.75,1.0,2,0,9,6,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.302, physics_prior_sd=5)",1.0,1.3019924453401126,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f01,4,1,physics_ridge_residual_gp,full81,0.9680170575692963,0.8346509018280359,0.9135802469135802,0.8065031982942431,0.6428571428571429,0.9701492537313433,5,2,65,9,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=0.6015, length_scale=1.111, physics_prior_sd=5)",0.6015411522681096,1.1109281433803913,False,False,False,False,False,
w85__r04_f01,4,1,physics_ridge_residual_gp,B1_q30,0.8051948051948051,0.690914010232192,0.72,0.7012987012987013,0.5454545454545454,0.8571428571428571,5,2,12,6,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=0.6015, length_scale=1.111, physics_prior_sd=5)",0.6015411522681096,1.1109281433803913,False,False,False,False,False,
w85__r04_f01,4,1,physics_ridge_residual_gp,B1_q20,0.6944444444444444,0.6082656926406926,0.5882352941176471,0.5763888888888888,0.375,0.7777777777777778,5,2,7,3,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=0.6015, length_scale=1.111, physics_prior_sd=5)",0.6015411522681096,1.1109281433803913,False,False,False,False,False,
w85__r04_f02,4,2,physics_ridge_residual_gp,full81,0.993939393939394,0.9722667528549882,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2,1,65,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.091, physics_prior_sd=5)",1.0,1.0906501208552675,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f02,4,2,physics_ridge_residual_gp,B1_q30,0.9583333333333334,0.9191718775052109,0.88,0.8576388888888888,0.7777777777777778,0.9375,2,1,15,7,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.091, physics_prior_sd=5)",1.0,1.0906501208552675,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f02,4,2,physics_ridge_residual_gp,B1_q20,0.9166666666666666,0.9191718775052109,0.8235294117647058,0.8263888888888888,0.7777777777777778,0.875,2,1,7,7,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.091, physics_prior_sd=5)",1.0,1.0906501208552675,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f03,4,3,physics_ridge_residual_gp,full81,1.0,1.0,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.212, physics_prior_sd=5)",1.0,1.2118709219855204,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f03,4,3,physics_ridge_residual_gp,B1_q30,1.0,1.0,0.96,0.9,0.8,1.0,1,0,20,4,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.212, physics_prior_sd=5)",1.0,1.2118709219855204,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f03,4,3,physics_ridge_residual_gp,B1_q20,1.0,1.0,0.9411764705882353,0.875,0.75,1.0,1,0,13,3,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.212, physics_prior_sd=5)",1.0,1.2118709219855204,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f04,4,4,physics_ridge_residual_gp,full81,0.995959595959596,0.9859649122807017,0.9753086419753086,0.9590909090909091,0.9333333333333333,0.9848484848484849,1,1,65,14,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.161, physics_prior_sd=5)",1.0,1.1606588488080594,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f04,4,4,physics_ridge_residual_gp,B1_q30,0.9705882352941175,0.9583333333333333,0.92,0.9080882352941176,0.875,0.9411764705882353,1,1,16,7,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.161, physics_prior_sd=5)",1.0,1.1606588488080594,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f04,4,4,physics_ridge_residual_gp,B1_q20,0.9428571428571428,0.948051948051948,0.8823529411764706,0.8785714285714286,0.8571428571428571,0.9,1,1,9,6,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.161, physics_prior_sd=5)",1.0,1.1606588488080594,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r04_f05,4,5,physics_ridge_residual_gp,full81,0.9936034115138592,0.9785714285714286,0.9876543209876543,0.9642857142857143,0.9285714285714286,1.0,1,0,67,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.279, physics_prior_sd=5)",1.0,1.2791392105715276,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
