model,subset,role,feature_count,features,metric,mean,sd_across_repeats,repeat_blocks
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,false_positive,4.2,1.0052493799000692,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,brier_score,0.07545660832637925,0.005230106218361877,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,roc_auc,0.9908826530612245,0.002400049366714997,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,pr_auc,0.9729435302998939,0.004988384958217895,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,accuracy,0.9727142857142859,0.006966237436176411,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,balanced_accuracy,0.9561607142857144,0.012159362400428855,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,keyhole_recall,0.9285714285714286,0.021739597435790934,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,conduction_recall,0.98375,0.004703193832218267,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,false_negative,5.0,1.5217718205053643,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,false_positive,4.55,1.3168942730211068,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,brier_score,0.02625321179586204,0.00238949831952214,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,roc_auc,0.9309214427960233,0.012933633602859344,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,pr_auc,0.8968009165663849,0.020298310761966767,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,accuracy,0.8843874416242837,0.030526919881104175,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,balanced_accuracy,0.8788314471108425,0.03345882117514443,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,keyhole_recall,0.8537493378886593,0.05243224634276973,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,conduction_recall,0.9039135563330258,0.025316145640959672,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,false_negative,4.4,1.6026294183720637,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,false_positive,4.45,1.145931016569864,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,brier_score,0.10043791610871822,0.008789903226778799,20
