idx,n,err,pmean,q20frac,y,D,logh,B1,kh_frames,partition,cfg,TE
155,20,0.0,0.999991551577699,0.0,1,305.76939999999996,21.94103457991376,2.453807118155822,63,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
156,20,0.0,0.9993224193312471,0.0,1,302.8026,21.555610118598786,2.3377416169130387,122,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
157,20,1.0,0.9910091883985558,1.0,0,105.0848,21.253338006787104,0.4435659871271194,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
158,20,0.0,0.9984243242557966,0.0,1,302.4508,21.457018447392034,1.3680575402773039,181,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
159,20,0.0,0.9916492022794501,0.0,1,311.9884,21.341384363998053,1.2320912882574366,144,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
160,20,0.0,0.9996637394100845,0.0,1,303.489,21.632200714536093,2.310151767652082,123,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
161,20,0.0,0.6721346355693043,0.7,1,119.14800000000001,20.913032673436486,0.9017201488629012,2,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
162,20,0.0,0.9422635766047904,0.35,1,147.8212,21.19752236486369,0.9690069166907005,23,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
163,20,0.0,0.9973673920309523,0.0,1,311.9952,21.450572015581606,1.21766422328343,180,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
164,20,0.0,0.006220252316131792,0.2,0,51.0315,19.95283600033355,1.0389978963674111,0,old-data-local,-0.0002|0.0012|0.0014|0.00125,0.00125
165,20,0.0,1e-12,0.0,0,26.93815,18.691301898089755,3.254328238655684,0,old-data-local,0.0002|0.0014|0.0012|0.0021,0.0021
166,20,0.0,3.914534545401693e-08,0.0,0,35.43061,19.09513226441195,2.0403427690264624,0,old-data-local,0.0002|0.0014|0.0012|0.00125,0.00125
167,20,0.0,1.6497922388225562e-07,0.0,0,47.02387,19.258306789103592,2.4268649552970536,0,old-data-local,0.0002|0.0014|0.0012|0.0021,0.0021
168,20,0.0,0.08740430770825469,1.0,0,66.84565,20.421129105174305,0.32519432616678984,0,old-data-local,-0.0002|0.0012|0.0014|0.00125,0.00125
169,20,0.0,1.9464123608940283e-11,0.0,0,27.21585,18.90843059954982,2.521260059073695,0,old-data-local,0.0002|0.0014|0.0012|0.0021,0.0021
