run_id,repeat,fold,arm,subset,region,accuracy_AULC,balanced_accuracy_AULC,keyhole_recall_AULC,roc_auc_AULC,pr_auc_AULC,brier_score_AULC,conduction_recall_AULC
w85__r16_f01,16,1,A4_oracle_width_margin,B1_q20,FULL_B16_80,0.8667279411764707,0.8490767045454545,0.7890624999999999,0.9006273674242424,0.726877261321195,0.11725904133166704,0.9090909090909091
w85__r16_f01,16,1,A4_oracle_width_margin,B1_q30,FULL_B16_80,0.908125,0.8673930921052633,0.7890624999999999,0.9325315241228072,0.7126085069444443,0.08628256996774233,0.9457236842105263
w85__r16_f01,16,1,A4_oracle_width_margin,full81,FULL_B16_80,0.9648919753086418,0.9317708333333333,0.8791666666666669,0.986975220959596,0.9510120198247052,0.030569232265365513,0.9843749999999998
w85__r16_f02,16,2,A0_m3_margin,B1_q20,FULL_B16_80,0.864889705882353,0.8509765625000001,0.8171875,0.9661458333333334,0.9405344742063493,0.11552665392555284,0.8847656250000001
w85__r16_f02,16,2,A0_m3_margin,B1_q30,FULL_B16_80,0.908125,0.8874383223684212,0.8476562499999999,0.9821820175438596,0.9569512085137084,0.08351986432039665,0.9272203947368423
w85__r16_f02,16,2,A0_m3_margin,full81,FULL_B16_80,0.9716435185185184,0.9590553977272727,0.9390625000000001,0.9978535353535355,0.9916094032185243,0.029066493172200142,0.9790482954545453
w85__r16_f02,16,2,A0_model_on_A1_path,B1_q20,FULL_B16_80,0.8612132352941178,0.8492838541666667,0.8203125,0.9638020833333334,0.9399838789682541,0.11750380522428439,0.8782552083333335
w85__r16_f02,16,2,A0_model_on_A1_path,B1_q30,FULL_B16_80,0.905625,0.886684484649123,0.8502604166666666,0.9809484649122806,0.9562739560786435,0.0851837242360636,0.9231085526315791
w85__r16_f02,16,2,A0_model_on_A1_path,full81,FULL_B16_80,0.9708719135802468,0.958984375,0.9401041666666667,0.997806186868687,0.9916931853607671,0.02986911526981806,0.9778645833333333
w85__r16_f02,16,2,A1_model_on_A0_path,B1_q20,FULL_B16_80,0.8828125000000001,0.9033203124999998,0.953125,0.9669270833333333,0.9407663690476191,0.10889329642377313,0.853515625
w85__r16_f02,16,2,A1_model_on_A0_path,B1_q30,FULL_B16_80,0.9203125000000001,0.9342105263157896,0.9609375,0.9825932017543859,0.9572296626984127,0.07853566624735785,0.907483552631579
w85__r16_f02,16,2,A1_model_on_A0_path,full81,FULL_B16_80,0.9754050925925926,0.9788707386363635,0.984375,0.9979955808080809,0.9921494117109565,0.027453063004693717,0.9733664772727272
w85__r16_f02,16,2,A1_predicted_width_margin,B1_q20,FULL_B16_80,0.8818933823529412,0.8889973958333333,0.90625,0.9609375,0.9376667343073594,0.11130966994973396,0.8717447916666667
w85__r16_f02,16,2,A1_predicted_width_margin,B1_q30,FULL_B16_80,0.9196875,0.920435855263158,0.921875,0.9794407894736841,0.954395799512987,0.08105234053937937,0.9189967105263158
w85__r16_f02,16,2,A1_predicted_width_margin,full81,FULL_B16_80,0.9750192901234568,0.9725970643939392,0.96875,0.9976325757575759,0.9911892620260825,0.028553942991189456,0.9764441287878787
w85__r16_f02,16,2,A4_model_on_A0_path,B1_q20,FULL_B16_80,0.8897058823529412,0.9136718749999999,0.971875,0.985546875,0.9736383928571428,0.103929586495051,0.8554687500000001
w85__r16_f02,16,2,A4_model_on_A0_path,B1_q30,FULL_B16_80,0.925,0.942639802631579,0.9765625,0.9923930921052632,0.9810329861111111,0.07483697053343263,0.9087171052631581
w85__r16_f02,16,2,A4_model_on_A0_path,full81,FULL_B16_80,0.9768518518518519,0.9821732954545455,0.9906250000000001,0.999124053030303,0.9965518172729618,0.026512575491455796,0.9737215909090908
w85__r16_f02,16,2,A4_oracle_width_margin,B1_q20,FULL_B16_80,0.9126838235294118,0.9326822916666666,0.98125,0.9872395833333333,0.9734027777777778,0.10719762606109831,0.8841145833333335
w85__r16_f02,16,2,A4_oracle_width_margin,B1_q30,FULL_B16_80,0.9406249999999999,0.955592105263158,0.984375,0.9932839912280702,0.9813399057539682,0.07839458548907838,0.9268092105263159
w85__r16_f02,16,2,A4_oracle_width_margin,full81,FULL_B16_80,0.9816743827160493,0.986339962121212,0.99375,0.9992266414141415,0.9968122645798367,0.028355520778669055,0.9789299242424241
w85__r16_f03,16,3,A0_m3_margin,B1_q20,FULL_B16_80,0.8754595588235294,0.8551339285714288,0.7399553571428572,0.9372767857142857,0.9280564498526683,0.10618723546566732,0.9703124999999999
w85__r16_f03,16,3,A0_m3_margin,B1_q30,FULL_B16_80,0.9143749999999999,0.8983072916666668,0.8179687499999999,0.9652083333333336,0.9540679632867133,0.07624897367914316,0.9786458333333334
w85__r16_f03,16,3,A0_m3_margin,full81,FULL_B16_80,0.9717399691358024,0.9321496212121214,0.8692708333333335,0.9915482954545455,0.9711593713608516,0.026389527449461343,0.9950284090909091
