arm,budget,runs,mae_mean,mae_q1,mae_q3,rmse_mean,rmse_q1,rmse_q3,r2_mean,r2_q1,r2_q3,relative_rmse_mean,relative_rmse_q1,relative_rmse_q3,spearman_true_vs_predicted_mean,spearman_true_vs_predicted_q1,spearman_true_vs_predicted_q3,mean_predicted_sd_mean,mean_predicted_sd_q1,mean_predicted_sd_q3,n_width_observations_mean,n_width_observations_q1,n_width_observations_q3,chosen_ridge_linear_fraction,chosen_ridge_quadratic_fraction,chosen_gp_matern_fraction
A1_model_on_A0_path,59,100,5.180628491798563,4.800154052780735,5.434614458710711,6.7517586139209165,6.263021926167636,7.1420670815652025,0.2752326052284233,0.195828120061749,0.3907727071079161,0.8462444427720446,0.7805222921354542,0.8967562727505933,0.452245704314875,0.3732468851336755,0.5264440529575058,6.942887998875989,6.457617572249157,7.359265905826097,53.85,53.0,55.0,0.06,0.39,0.55
A1_model_on_A0_path,60,100,5.190803534418534,4.820270035885217,5.455849257496589,6.771381538482383,6.288854699866525,7.167997335548189,0.2714939876768076,0.18506350919223344,0.37891332429652336,0.8485290366583059,0.7880863840223008,0.9027375021582815,0.4518151917065499,0.376243427425176,0.532708331881485,6.877162418569302,6.443034942489884,7.323115806696256,54.79,54.0,56.0,0.06,0.39,0.55
A1_model_on_A0_path,61,100,5.183584801679248,4.786909874230918,5.4768883358765,6.762129669581813,6.289129073889268,7.172666119658951,0.27253001925624304,0.19406933775578541,0.38884651604203824,0.8474284022563794,0.7817566675843107,0.8977362492697722,0.45621735794352813,0.38720414922432467,0.5406185078133153,6.879692848578414,6.45255345771471,7.343240780218866,55.73,55.0,57.0,0.06,0.39,0.55
A1_model_on_A0_path,62,100,5.176541141855242,4.818388040866893,5.4709285602655005,6.756763640463251,6.314389876391302,7.130313006383611,0.27542711639103856,0.21091185849262853,0.3962649117313026,0.8458781226383096,0.7770036918725863,0.8883056793684734,0.45782315766164183,0.3900706840729262,0.537246420304438,6.882296363535391,6.408641898726238,7.291654283716266,56.67,56.0,58.0,0.06,0.39,0.55
A1_model_on_A0_path,63,100,5.164606697965137,4.794422278104075,5.466849056615479,6.734508540117169,6.294034219573343,7.096144718707622,0.2801924683652087,0.1949505205931236,0.39895854107773543,0.8429744619797028,0.7752686352483054,0.8972454418867623,0.4572961154794515,0.3862025113344027,0.5367966093104323,6.80449117673924,6.262012111647399,7.212761131256517,57.62,57.0,58.25,0.06,0.39,0.55
A1_model_on_A0_path,64,100,5.152787480808756,4.816945388359657,5.4381340943694205,6.7115078401469255,6.291334851121938,7.090971850079246,0.28706539832278927,0.2009587068060565,0.3952791682063206,0.8396383016942448,0.7776355187505231,0.893889940546827,0.4631771233060659,0.3993491192986709,0.5428997614726974,6.903235495902672,6.254424496614157,7.232446558917545,58.53,58.0,59.0,0.03,0.42,0.55
A1_model_on_A0_path,65,100,5.160772176728598,4.846610252558351,5.413694932837702,6.72013139926671,6.302808871154674,7.053493744244663,0.2859656646469515,0.2072988139648637,0.39271502138287356,0.840428171123196,0.7792848572682872,0.8903373499899019,0.4649495000593726,0.4065169518611882,0.540876229091378,6.707689047238729,6.2576926233675,7.045508167904465,59.46,58.0,60.0,0.03,0.42,0.55
A1_model_on_A0_path,66,100,5.141955015260445,4.841142941333651,5.4242034120854274,6.695384761064061,6.29123307554022,7.061086630540718,0.29175662083154436,0.21432087321016505,0.40373945638655206,0.8368453809533487,0.7721786396130673,0.8863842860723827,0.46891306879055805,0.4099534908761339,0.5435084904893213,6.752899597511518,6.265413219951377,7.09060277679853,60.37,59.0,61.0,0.03,0.42,0.55
A1_model_on_A0_path,67,100,5.137471951011308,4.811534148637488,5.4102618314441475,6.685655490683855,6.272485190972673,7.049472477559342,0.2950463767401555,0.21867122636244954,0.40010166146784054,0.8348627124816373,0.7745310384123485,0.8839271930895142,0.47207002930895925,0.40517170475336267,0.5491626889166893,6.675843600240543,6.221334772111083,7.022859578798484,61.3,60.0,62.0,0.03,0.42,0.55
A1_model_on_A0_path,68,100,5.121036665300324,4.791949751668586,5.4110245972805835,6.667129344818461,6.268984515139508,6.985708655259808,0.2992258806729501,0.22939416926171427,0.406674604442687,0.8323953420135894,0.7702761111964098,0.877838606748167,0.4781240853336165,0.4170133644442661,0.5495785124743398,6.664441791157246,6.196644196369551,7.022315495794031,62.24,61.0,63.0,0.03,0.42,0.55
A1_model_on_A0_path,69,100,5.136738719843748,4.8117697914939175,5.420590953119006,6.68881567845424,6.303657515409065,7.0114907231359975,0.29519373639023655,0.22275033358183896,0.4033921277187058,0.8347580611584958,0.7724036079051805,0.8816168278127199,0.4795472926656831,0.42102064366304975,0.5499050336876397,6.6586559018726055,6.188089551696102,6.995761009920539,63.14,62.0,64.0,0.03,0.42,0.55
A1_model_on_A0_path,70,100,5.136101690937534,4.780844500475329,5.440255979144945,6.685152817211928,6.26784456637624,7.001769831535998,0.29680407485765625,0.2174578158260328,0.4080499389172766,0.833623736919391,0.7693822972624202,0.8846140137448275,0.48345729533855797,0.4291166845195339,0.5514493727975054,6.621195233041623,6.114480813385215,6.960677876301978,64.06,63.0,65.0,0.03,0.42,0.55
A1_model_on_A0_path,71,100,5.123622589790929,4.749203311985898,5.399379791155685,6.670062404673096,6.2658068916243845,6.994556364844265,0.3004932076220731,0.23084321419822265,0.41221747653603336,0.8311037335914024,0.7666676707185667,0.8770158291712822,0.4878943283604233,0.4284164582534151,0.5581575228709514,6.6645740461836205,6.095123971281936,7.162611660551499,64.95,64.0,66.0,0.03,0.42,0.55
A1_model_on_A0_path,72,100,5.104780087014263,4.744697222513948,5.389419017062817,6.6432649031385,6.192741728106998,7.050235946696035,0.30722994075674603,0.23354194694605188,0.42431909764674225,0.8270535758779138,0.758736362512858,0.8754754971549055,0.49126282465022414,0.4316587877451851,0.5612307007904522,6.545617316694205,6.15513455830834,6.869166774420469,65.86,65.0,67.0,0.02,0.34,0.64
A1_model_on_A0_path,73,100,5.091024388746184,4.704698021507653,5.379382417631043,6.626206994719982,6.168541870097701,7.031312962364379,0.3118895056419363,0.24628644440892947,0.4347973858975434,0.8242066629283248,0.7517991676946406,0.8681663807423475,0.49608155367690737,0.4366591459711187,0.5664237594034205,6.468258667846452,6.066508363656061,6.887229580180054,66.81,66.0,68.0,0.02,0.34,0.64
A1_model_on_A0_path,74,100,5.0896128532872025,4.696160971265723,5.405264099381053,6.630906295797944,6.154618455655008,7.061646047320961,0.3117470871558164,0.23241257099228052,0.43465922757250475,0.8243331781159791,0.7518909895737329,0.8761206568301769,0.49858016100731284,0.438090858358233,0.5692892938422811,6.47162103190297,6.144791805214821,6.811449899110234,67.73,67.0,69.0,0.02,0.34,0.64
