contrast,role,subset,region,metric,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,negative_repeat_blocks,bootstrap_draws
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,EARLY_B16_40,accuracy,0.0009833333333333749,-0.00034999999999996715,0.0023166666666667225,12,8,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,EARLY_B16_40,balanced_accuracy,0.002393104811049357,0.001057193498683787,0.003671334713277879,15,5,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,EARLY_B16_40,keyhole_recall,0.00598381884319385,0.00335962038540168,0.00857393447120011,17,3,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,EARLY_B16_40,roc_auc,0.0014972097209278168,0.0005596943639726818,0.002389363252664996,16,4,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,EARLY_B16_40,pr_auc,0.0022858386831780208,0.0004671858372178868,0.00424495110413713,17,3,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,EARLY_B16_40,brier_score,-0.0009859753326430965,-0.0013583163392640212,-0.0006138368876695377,2,18,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,EARLY_B16_40,conduction_recall,-0.001197609221095064,-0.0029483226282598033,0.000552631230215056,8,12,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,FULL_B16_80,accuracy,0.002875,0.000640624999999978,0.00508757812500001,14,6,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,FULL_B16_80,balanced_accuracy,0.006444635447884095,0.0029691013365217185,0.009861539239264479,14,6,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,FULL_B16_80,keyhole_recall,0.016249115034271278,0.009432703570301213,0.023665912332025616,18,2,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,FULL_B16_80,roc_auc,0.004345660706937415,0.0032884260724357016,0.005328270114066348,19,1,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,FULL_B16_80,pr_auc,0.005413941309207066,0.003942775688730345,0.0068368429006857405,19,1,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,FULL_B16_80,brier_score,-0.0033079423490756134,-0.003942602635238911,-0.00262510332030568,1,19,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q30,FULL_B16_80,conduction_recall,-0.003359844138503065,-0.004970994615913671,-0.0018305842895182715,6,14,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,EARLY_B16_40,accuracy,0.00032921810699589884,-0.00012602880658432763,0.0007767489711934141,12,7,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,EARLY_B16_40,balanced_accuracy,0.001389588852275414,0.0006218071237427551,0.0021435876455116014,15,5,10000
