dataset,name,observed_target,isotropic_predicted_mean,isotropic_predicted_std,isotropic_absolute_error,isotropic_squared_error,ard_observed_target_check,ard_predicted_mean,ard_predicted_std,ard_absolute_error,ard_squared_error,paired_absolute_error_improvement_isotropic_minus_ard,paired_squared_error_improvement_isotropic_minus_ard,paired_outcome
clean,P-178p179131994_VX-0p674364285322_LS-6p39772031663e-05_ST-392p701744041_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15358257846e-06_H-b41981edcb,13773.0,13702.1028181943,2933.2825761524327,70.8971818056998,5026.410387990451,13773.0,13469.158886240359,1718.3194384930841,303.8411137596413,92319.42241069929,-232.9439319539415,-87293.01202270883,ARD_worsened
clean,P-180p4231768_VX-0p853402947533_LS-8p92029044014e-05_ST-332p421625378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p65280518067e-06_H-0b12abf205,10572.0,11580.154051127784,5979.757587406879,1008.1540511277854,1016374.5908053652,10572.0,10405.66303866747,2628.8376450829405,166.33696133253034,27667.98470533969,841.817089795255,988706.6061000256,ARD_improved
clean,P-181p628478787_VX-0p952936233186_LS-6p91719476824e-05_ST-399p362560559_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06237504149e-06_H-2ecbc85805,9746.0,10800.302802832311,5046.072218067408,1054.302802832313,1111554.4000600718,9746.0,9574.534058979682,1983.6519434486413,171.4659410203185,29400.56892998334,882.8368618119946,1082153.8311300885,ARD_improved
clean,P-188p623199531_VX-0p253450423389_LS-5p98563054886e-05_ST-373p9812389_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90337839587e-05_H-b41981edcb,35600.0,29777.13364455368,4649.61765866467,5822.86635544632,33905772.593388714,35600.0,34086.40352241526,2530.722599150988,1513.5964775847388,2290974.2969569284,4309.269877861581,31614798.296431787,ARD_improved
clean,P-189p966894809_VX-0p644468304217_LS-6p74843907822e-05_ST-388p1301819_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p48542724514e-06_H-851e5d4577,14000.0,14051.886131274689,2733.4548161381326,51.88613127468852,2692.1706186542106,14000.0,14485.931885600692,1659.830063631966,485.9318856006921,236129.7974434441,-434.0457543260036,-233437.6268247899,ARD_worsened
clean,P-191p425479448_VX-0p407642571095_LS-6p68635438353e-05_ST-376p486404344_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p18341923663e-05_H-9a0fcdd2aa,22129.0,24156.387662555728,3356.033765996431,2027.387662555728,4110300.734283177,22129.0,22128.907469309874,1870.2904228849768,0.09253069012629567,0.00856192861524855,2027.2951318656017,4110300.7257212484,ARD_improved
clean,P-194p299416559_VX-0p806548050335_LS-7p3474496565e-05_ST-381p946978961_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p98119430208e-06_H-b41981edcb,11187.0,10852.175461381612,3082.095011703282,334.82453861838803,112107.47166101642,11187.0,11354.923487261392,1916.6379514860757,167.92348726139244,28198.297574027027,166.9010513569956,83909.1740869894,ARD_improved
clean,P-196p499083559_VX-0p373706074139_LS-6p49065899682e-05_ST-353p001345311_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p290886324e-05_H-b789300819,24137.0,25229.086680463013,3204.2170678230827,1092.0866804630132,1192653.3176447237,24137.0,22790.162987526688,1502.5615654090282,1346.837012473312,1813969.938168036,-254.75033201029873,-621316.6205233124,ARD_worsened
clean,P-199p092557979_VX-0p316505824784_LS-5p93128195415e-05_ST-330p512210532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p52418067071e-05_H-8bf1b39107,28501.0,33096.73450388295,3432.5804267368385,4595.734503882952,21120775.63018028,28501.0,29900.635275460052,790.6862681101443,1399.635275460052,1958978.904312136,3196.0992284228996,19161796.725868143,ARD_improved
clean,P-202p623346674_VX-0p47308497906_LS-5p69403778977e-05_ST-355p073751689_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p01971544575e-05_H-b41981edcb,19069.0,19347.50413562209,3746.95223964024,278.50413562209,77564.55355860748,19069.0,19205.797438445778,2430.1484364844387,136.79743844577752,18713.53916532629,141.7066971763125,58851.01439328119,ARD_improved
clean,P-205p507001181_VX-0p303336340291_LS-4p80706805647e-05_ST-333p622908766_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p59035366431e-05_H-89a38ff0e6,30615.0,27100.98596059056,5123.826570005363,3514.014039409441,12348294.66916666,30615.0,29501.06048277543,771.2017950786143,1113.9395172245713,1240861.248034511,2400.0745221848697,11107433.42113215,ARD_improved
clean,P-207p940614893_VX-0p318461267696_LS-7p4904937331e-05_ST-370p987623474_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p51482176715e-05_H-0b12abf205,26658.0,25941.87775907317,3672.87423752292,716.1222409268303,512831.0639500651,26658.0,28280.567085496106,1163.393213062683,1622.5670854961063,2632723.9469353287,-906.444844569276,-2119892.8829852636,ARD_worsened
