name,observed_target,clean_trained_prediction,clean_trained_std,clean_trained_absolute_error,broad_observed_target_check,broad_trained_prediction,broad_trained_std,broad_trained_absolute_error,paired_improvement_clean_minus_broad,paired_outcome
P-180p4231768_VX-0p853402947533_LS-8p92029044014e-05_ST-332p421625378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p65280518067e-06_H-0b12abf205,10572.0,10405.66303866747,2628.8376450829405,166.33696133253034,10572.0,27903.616137196263,18529.425280690506,17331.616137196263,-17165.279175863732,worsened_by_broad_training
P-181p628478787_VX-0p952936233186_LS-6p91719476824e-05_ST-399p362560559_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06237504149e-06_H-2ecbc85805,9746.0,9574.534058979682,1983.6519434486413,171.4659410203185,9746.0,17352.673284770895,18718.980814464005,7606.673284770895,-7435.207343750577,worsened_by_broad_training
P-188p623199531_VX-0p253450423389_LS-5p98563054886e-05_ST-373p9812389_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90337839587e-05_H-b41981edcb,35600.0,34086.40352241526,2530.722599150988,1513.5964775847388,35600.0,76977.47516117556,15669.364400348017,41377.475161175564,-39863.878683590825,worsened_by_broad_training
P-189p966894809_VX-0p644468304217_LS-6p74843907822e-05_ST-388p1301819_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p48542724514e-06_H-851e5d4577,14000.0,14485.931885600692,1659.830063631966,485.9318856006921,14000.0,26752.9468726922,12695.67646400223,12752.946872692199,-12267.014987091507,worsened_by_broad_training
P-191p425479448_VX-0p407642571095_LS-6p68635438353e-05_ST-376p486404344_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p18341923663e-05_H-9a0fcdd2aa,22129.0,22128.907469309874,1870.2904228849768,0.09253069012629567,22129.0,44277.445823146205,14338.910210959928,22148.445823146205,-22148.35329245608,worsened_by_broad_training
P-194p299416559_VX-0p806548050335_LS-7p3474496565e-05_ST-381p946978961_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p98119430208e-06_H-b41981edcb,11187.0,11354.923487261392,1916.6379514860757,167.92348726139244,11187.0,20567.75854519208,14102.102639680666,9380.758545192079,-9212.835057930686,worsened_by_broad_training
P-196p499083559_VX-0p373706074139_LS-6p49065899682e-05_ST-353p001345311_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p290886324e-05_H-b789300819,24137.0,22790.162987526688,1502.5615654090282,1346.837012473312,24137.0,61330.37974265551,11218.353911821763,37193.37974265551,-35846.5427301822,worsened_by_broad_training
P-199p092557979_VX-0p316505824784_LS-5p93128195415e-05_ST-330p512210532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p52418067071e-05_H-8bf1b39107,28501.0,29900.635275460052,790.6862681101443,1399.635275460052,28501.0,36841.11975386976,17237.780276196998,8340.11975386976,-6940.484478409708,worsened_by_broad_training
P-202p623346674_VX-0p47308497906_LS-5p69403778977e-05_ST-355p073751689_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p01971544575e-05_H-b41981edcb,19069.0,19205.797438445778,2430.1484364844387,136.79743844577752,19069.0,26540.49627148756,14366.747671452047,7471.496271487558,-7334.698833041781,worsened_by_broad_training
P-205p507001181_VX-0p303336340291_LS-4p80706805647e-05_ST-333p622908766_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p59035366431e-05_H-89a38ff0e6,30615.0,29501.06048277543,771.2017950786143,1113.9395172245713,30615.0,39155.391968605654,19158.388849599964,8540.391968605654,-7426.452451381083,worsened_by_broad_training
P-207p940614893_VX-0p318461267696_LS-7p4904937331e-05_ST-370p987623474_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p51482176715e-05_H-0b12abf205,26658.0,28280.567085496106,1163.393213062683,1622.5670854961063,26658.0,34776.761491014106,18849.925950783796,8118.761491014106,-6496.194405517999,worsened_by_broad_training
P-210p464738138_VX-0p237113609615_LS-6p46217439158e-05_ST-306p057190902_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p03451864735e-05_H-12faed80a6,36935.0,36059.09504627156,2789.620804695419,875.9049537284372,36935.0,54579.77276386497,17155.394085713175,17644.772763864967,-16768.86781013653,worsened_by_broad_training
P-213p87237204_VX-0p329966780459_LS-7p13970627017e-05_ST-390p008507958_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p46200190101e-05_H-765072ed36,26532.0,25290.44826016835,1386.3389704254198,1241.5517398316515,26532.0,70191.89919850975,10694.33777052004,43659.89919850975,-42418.3474586781,worsened_by_broad_training
P-218p352277735_VX-0p662592791038_LS-5p96508880483e-05_ST-307p55260089_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p28067173121e-06_H-b41981edcb,13617.0,13607.01661786272,2903.7014514140915,9.983382137279477,13617.0,36318.962107234154,16899.513585763147,22701.962107234154,-22691.978725096873,worsened_by_broad_training
P-218p623352015_VX-0p878480487228_LS-8p13012329394e-05_ST-381p006435488_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p49143740032e-06_H-90ad187ad0,9968.0,10080.726856309717,2690.048990152898,112.72685630971682,9968.0,26510.770174203502,15333.596749898086,16542.770174203502,-16430.043317893786,worsened_by_broad_training
P-222p052357041_VX-0p997941039436_LS-5p29599486117e-05_ST-383p923575745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p83407377027e-06_H-02b1b704be,9307.0,9515.114174866985,3208.7608621189756,208.1141748669852,9307.0,28016.799949435503,16221.837075391652,18709.799949435503,-18501.68577456852,worsened_by_broad_training
