benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_shortlist_size,acquisition_requested_shortlist_size,acquisition_finite_difference_h,acquisition_curvature_clip,acquisition_repulsion_bandwidth,acquisition_boundary_weight_power,acquisition_selected_position,acquisition_selected_shortlist_position,acquisition_selected_raw_straddle,acquisition_selected_normalized_uncertainty,acquisition_selected_boundary_weight,acquisition_selected_raw_curvature,acquisition_selected_normalized_curvature,acquisition_selected_repulsion,acquisition_selected_gbc_score,acquisition_fallback_used
branin,gated_geometric_boundary_contraction,2,21,26,27,608,2.058132472822713,True,True,True,200,200,0.001,10.0,0.15,1.0,596,172,0.5004696173137657,0.6886693716007125,0.5317549363621541,6.702507763948276,0.7130839880815906,0.41694924994671634,0.10887951561832583,False
branin,gated_geometric_boundary_contraction,2,22,27,28,1346,23.179057229521188,False,False,False,200,200,0.001,10.0,0.15,1.0,1325,61,1.1122896088805758,0.6863492389305915,0.752403012966329,10.0,0.9999999999998997,0.40996063505418634,0.2117082779802777,False
branin,gated_geometric_boundary_contraction,2,23,28,29,583,17.320449659158974,False,False,False,200,200,0.001,10.0,0.15,1.0,573,33,1.220792104176229,0.6262579293835849,0.8635964786465453,7.030197321532996,0.7029711037027818,0.39215089032110084,0.1490921505558072,False
branin,gated_geometric_boundary_contraction,2,24,29,30,785,45.544367927960124,False,False,False,200,200,0.001,10.0,0.15,1.0,770,186,0.7613041974551572,0.7722216162166307,0.5299318444918628,10.0,0.9999999999998999,0.418247423670265,0.17115722894140992,False
branin,gated_geometric_boundary_contraction,2,25,30,31,910,22.565823041576053,False,False,False,200,200,0.001,10.0,0.15,1.0,894,6,1.3474311546135416,0.9424717478510788,0.7945146574684558,4.162436116892944,0.4157500069467579,0.45262573837719433,0.14090998395458812,False
branin,gated_geometric_boundary_contraction,2,26,31,32,1018,94.35763115058343,False,False,False,200,200,0.001,10.0,0.15,1.0,999,169,0.6674229496942075,0.6707454969331985,0.5638209725901424,10.0,0.9999999999998999,0.3854714298904208,0.14577773123426704,False
branin,gated_geometric_boundary_contraction,2,27,32,33,661,16.669541918510006,False,False,False,200,200,0.001,10.0,0.15,1.0,647,20,1.1465309545736888,0.742902726477512,0.8207566204224533,4.79472963072244,0.47595955698184184,0.40383869844862286,0.11719911491278338,False
branin,gated_geometric_boundary_contraction,2,28,33,34,643,20.48369831757664,False,False,False,200,200,0.001,10.0,0.15,1.0,629,166,0.5887076494668461,0.5486714433579601,0.6059274807152093,10.0,0.9999999999998999,0.3747573777966342,0.12459000354014162,False
branin,gated_geometric_boundary_contraction,2,29,34,35,1329,70.44654057092859,False,False,False,200,200,0.001,10.0,0.15,1.0,1302,175,0.4480219971224725,0.6458257960531938,0.4993141097420808,10.0,0.9999999999999,0.34121694085081367,0.11003220385151365,False
branin,gated_geometric_boundary_contraction,2,30,35,36,1034,27.88571023212102,False,False,False,200,200,0.001,10.0,0.15,1.0,1012,131,0.5373444570514977,0.7320365541258932,0.5099502484697112,9.593598302526633,0.959323818392203,0.3007504699808501,0.10770407069221712,False
branin,gated_geometric_boundary_contraction,2,31,36,37,1187,2.312641199574724,True,True,True,200,200,0.001,10.0,0.15,1.0,1160,36,0.8083082203896212,0.4559665389335334,0.8865678860496499,5.727404058985866,0.5719298301330308,0.3377538907688945,0.07808867939735063,False
branin,gated_geometric_boundary_contraction,2,32,37,38,1350,9.297702057310438,False,False,True,200,200,0.001,10.0,0.15,1.0,1319,17,1.1509732361993847,0.7083053642534388,0.8661896848920765,3.0800431956333774,0.3336064645891955,0.430238638806691,0.08805974166792305,False
branin,gated_geometric_boundary_contraction,2,33,38,39,254,112.02795882272537,False,False,False,200,200,0.001,10.0,0.15,1.0,253,183,0.3854442247639227,0.7823351546652387,0.3973588604743321,8.543444942991421,0.9271039018413217,0.44303232196243525,0.12768490809345906,False
branin,gated_geometric_boundary_contraction,2,34,39,40,750,27.758994102616718,False,False,False,200,200,0.001,10.0,0.15,1.0,732,0,1.512026185677179,0.9204116207582782,0.9496901926299124,2.4482141388273972,0.2640573058628497,0.44262883032466815,0.1021649512912283,False
branin,gated_geometric_boundary_contraction,2,35,40,41,892,2.1434851781644184,True,True,True,200,200,0.001,10.0,0.15,1.0,872,25,0.7227350702063051,0.9725369166401066,0.6742683569527419,4.167256856681884,0.4378454007080649,0.3418318115010789,0.09814589580186515,False
branin,gated_geometric_boundary_contraction,2,36,41,42,847,53.54317709758051,False,False,False,200,200,0.001,10.0,0.15,1.0,827,187,0.2360643311781747,0.8691468672578421,0.45261238959904304,10.0,0.9999999999999,0.3534892466728683,0.13905794720224182,False
branin,gated_geometric_boundary_contraction,2,37,42,43,552,92.62148687079412,False,False,False,200,200,0.001,10.0,0.15,1.0,542,195,0.20234845298482973,0.7996221998592309,0.47764498584296256,10.0,0.9999999999998997,0.27782569012129965,0.10611150340748038,False
branin,gated_geometric_boundary_contraction,2,38,43,44,319,22.627959585677644,False,False,False,200,200,0.001,10.0,0.15,1.0,316,96,0.3726717517933781,0.8565807101062344,0.5958824322321575,5.917924395757885,0.6033263392236834,0.31306816767087065,0.09640955289092837,False
branin,gated_geometric_boundary_contraction,2,39,44,45,988,112.89066758075725,False,False,False,200,200,0.001,10.0,0.15,1.0,961,194,0.06899077082321425,0.9999999999980563,0.3306672792386425,10.0,0.9999999999999,0.23983510330855506,0.07930562107679656,False
branin,gated_geometric_boundary_contraction,2,40,45,46,43,1.1815325743136462,True,True,True,200,200,0.001,10.0,0.15,1.0,43,8,0.6714133895445052,0.9999999999977225,0.7310319781744152,4.556853183877474,0.45487788249379335,0.24402271867002612,0.0811449425426842,False
branin,gated_geometric_boundary_contraction,2,41,46,47,864,17.109730456242033,False,False,False,200,200,0.001,10.0,0.15,1.0,840,196,0.10650904290061303,0.9999999999980036,0.34416212170709715,10.0,0.9999999999998999,0.24350493732083744,0.08380517587431742,False
