analysis_type,population_or_route,train_population,test_population,candidate_id,metric,estimate,ci_low,ci_high,bootstrap_resamples,bootstrap_unit,bootstrap_scheme
cross_population_transfer,new_to_old_local,new-data,old-data-local,R3,transfer_sensitivity,0.5,0.125,0.875,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,R3,transfer_specificity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,T0_depth,transfer_balanced_accuracy,0.9836065573770492,0.959016393442623,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,T0_depth,transfer_sensitivity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,T0_depth,transfer_specificity,0.9672131147540983,0.9180327868852459,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,max_depth,transfer_balanced_accuracy,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,max_depth,transfer_sensitivity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,max_depth,transfer_specificity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,G3,transfer_balanced_accuracy,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,G3,transfer_sensitivity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,G3,transfer_specificity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,R3,transfer_balanced_accuracy,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
