family,model,repeat,fold,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss
physical_score,keyhole_process_score_h__raw,2,3,1.0,1.0,1.0,0.0005979466515466845,0.012004421785831741
physical_score,keyhole_process_score_h__raw,2,4,1.0,1.0,0.9375,0.02442848575312661,0.0929044140423723
physical_score,keyhole_process_score_h__raw,2,5,1.0,1.0,1.0,0.01110398906512236,0.054386108766665116
physical_score,keyhole_process_score_h__raw,2,6,0.987012987012987,0.9571428571428572,0.9285714285714286,0.02823570047210284,0.09727031872002927
physical_score,keyhole_process_score_h__raw,2,7,0.9913419913419914,0.9617346938775511,0.8571428571428572,0.03398154253603028,0.09954431069025846
physical_score,keyhole_process_score_h__raw,2,8,0.9913419913419914,0.9682539682539683,0.9134199134199135,0.034614067141138384,0.0980131947034654
physical_score,keyhole_process_score_h__raw,2,9,0.987012987012987,0.9571428571428572,0.7142857142857143,0.06003224196045341,0.16952481157279578
physical_score,keyhole_process_score_h__raw,2,10,0.9913419913419914,0.9682539682539683,0.9285714285714286,0.020805719007206427,0.07109891924668163
physical_score,keyhole_process_score_h__raw,3,1,1.0,1.0,1.0,0.005459072567752211,0.0323286919593324
physical_score,keyhole_process_score_h__raw,3,2,0.9873949579831932,0.9571428571428571,0.8571428571428572,0.03665418799773324,0.12457873421201619
physical_score,keyhole_process_score_h__raw,3,3,0.9924242424242424,0.975,0.9375,0.023734284675658527,0.08149256654716192
physical_score,keyhole_process_score_h__raw,3,4,0.9772727272727273,0.9202741702741704,0.8125,0.051513702051136,0.15596600966083116
physical_score,keyhole_process_score_h__raw,3,5,0.9924242424242424,0.9704861111111112,0.9223484848484849,0.025994920153606105,0.07941967846896916
physical_score,keyhole_process_score_h__raw,3,6,1.0,1.0,1.0,0.01425409252179099,0.057841021872122846
physical_score,keyhole_process_score_h__raw,3,7,0.9913419913419914,0.9682539682539683,0.9285714285714286,0.024216712209557116,0.07858292512138379
physical_score,keyhole_process_score_h__raw,3,8,0.9913419913419914,0.9617346938775511,0.9134199134199135,0.04258274497286116,0.15498695822600872
physical_score,keyhole_process_score_h__raw,3,9,1.0,1.0,0.9285714285714286,0.021086427027564473,0.07458775383563984
physical_score,keyhole_process_score_h__raw,3,10,0.9740259740259741,0.859750566893424,0.8982683982683983,0.046939253843057846,0.26854989950903035
physical_score,keyhole_process_score_h__raw,4,1,0.9915966386554622,0.9617346938775511,0.9852941176470589,0.03354513737526015,0.13536464712816498
physical_score,keyhole_process_score_h__raw,4,2,1.0,1.0,1.0,0.0034502918823544337,0.023802223528288664
physical_score,keyhole_process_score_h__raw,4,3,0.9772727272727272,0.9464285714285714,0.875,0.0431924296042976,0.14582567895802212
physical_score,keyhole_process_score_h__raw,4,4,0.9924242424242424,0.975,0.9375,0.025617526698420164,0.08608964637226338
physical_score,keyhole_process_score_h__raw,4,5,0.9962121212121212,0.9861111111111112,0.875,0.03624195572603981,0.10882574836320555
physical_score,keyhole_process_score_h__raw,4,6,0.9783549783549784,0.8736394557823131,0.8419913419913421,0.05317996125736786,0.2776239414147589
physical_score,keyhole_process_score_h__raw,4,7,1.0,1.0,0.9848484848484849,0.013061077750654806,0.04978454864307001
physical_score,keyhole_process_score_h__raw,4,8,0.9956709956709957,0.9821428571428572,0.9285714285714286,0.026150126095379235,0.08578073965646435
physical_score,keyhole_process_score_h__raw,4,9,0.9956709956709957,0.9821428571428572,0.9848484848484849,0.027217560850756134,0.0891573951595824
physical_score,keyhole_process_score_h__raw,4,10,1.0,1.0,0.8571428571428572,0.034643524790488905,0.11113931857720885
physical_score,keyhole_process_score_h__raw,5,1,0.9705882352941176,0.8962585034013604,0.9138655462184874,0.04731959401143028,0.14853387268326426
physical_score,keyhole_process_score_h__raw,5,2,1.0,1.0,1.0,0.007617630390382896,0.043627606934223705
physical_score,keyhole_process_score_h__raw,5,3,1.0,1.0,0.9375,0.018693594916653893,0.06518721317526305
physical_score,keyhole_process_score_h__raw,5,4,0.9772727272727273,0.9248511904761905,0.8598484848484849,0.06469454704547538,0.22553594657835752
physical_score,keyhole_process_score_h__raw,5,5,1.0,1.0,1.0,0.007004082587020039,0.03074396983739512
