benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,21,0.377,0.8971,0.1574325164033647,0.04607430000032764,0.475,1000,0.932,0.1623455582373592,0.4805,2000,0.9235,0.16082437995919244,0.464,3000,0.92,0.16076887555459787
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,22,0.3724,0.9036,0.15981962690411008,0.04950660000031348,0.471,1000,0.953,0.16646007775947097,0.478,2000,0.94,0.16442384241928704,0.463,3000,0.9373333333333334,0.16399895918906696
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,23,0.3705,0.905,0.16024126059461818,0.042065999999977066,0.474,1000,0.951,0.16711823324737435,0.482,2000,0.9405,0.16486371877981887,0.4623333333333333,3000,0.937,0.16427170955428075
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,24,0.3618,0.9072,0.16063510455704158,0.04106049999973038,0.472,1000,0.953,0.16929908650626907,0.478,2000,0.9435,0.1663839302011476,0.4583333333333333,3000,0.9393333333333334,0.16598994217244603
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,25,0.3569,0.8914,0.1528869773303179,0.04233290000047418,0.479,1000,0.95,0.16273652673411862,0.477,2000,0.9385,0.15899860338719435,0.45566666666666666,3000,0.932,0.15805898954118786
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,26,0.3558,0.8492,0.14161839894400413,0.04493860000002314,0.476,1000,0.927,0.15139755472671548,0.474,2000,0.9115,0.147688130597707,0.454,3000,0.905,0.14668390212002805
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,27,0.3451,0.8387,0.13697816240022798,0.04799479999928735,0.482,1000,0.914,0.14742524599139847,0.4725,2000,0.9025,0.14368378380840266,0.452,3000,0.8966666666666666,0.1422345724863953
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,28,0.3472,0.8442,0.1368886500484332,0.04557120000026771,0.481,1000,0.922,0.14578291384830921,0.47,2000,0.9065,0.14289902173861221,0.45366666666666666,3000,0.8986666666666666,0.1411927874589136
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,29,0.338,0.8622,0.14360999714825862,0.04482260000077076,0.472,1000,0.942,0.15684472708322098,0.4625,2000,0.9255,0.1530458773933067,0.443,3000,0.9166666666666666,0.15069305774794062
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,30,0.3409,0.908,0.15943556995079605,0.03653139999914856,0.471,1000,0.969,0.1745185146149204,0.469,2000,0.965,0.1705419556153423,0.446,3000,0.9583333333333334,0.16847148640233042
