arm,c,subset,budget,metric,delta_vs_M3_MARGIN,ci_lower,ci_upper
REP_C200,2.0,full81,40,pr_auc,0.0005585468758140477,-0.005530362746503215,0.005991548467709798
REP_C400,4.0,full81,40,pr_auc,0.0003645551882299258,-0.005831332577373819,0.005808139194249288
REP_C025,0.25,full81,40,brier_score,-0.002215427000448061,-0.0030821712586788005,-0.0013298646903400595
REP_C050,0.5,full81,40,brier_score,-0.0027601010140616087,-0.003890374319011275,-0.0016175778957840318
REP_C100,1.0,full81,40,brier_score,-0.0031028025719232457,-0.0044618953776380645,-0.0018602662194822958
REP_C200,2.0,full81,40,brier_score,-0.003152882455518513,-0.004454937108996173,-0.001983547107619181
REP_C400,4.0,full81,40,brier_score,-0.0031650434279321465,-0.00451872946511016,-0.001980958028479119
REP_C025,0.25,full81,80,accuracy,-0.0001234567901234329,-0.0009876543209876355,0.0009876543209876632
REP_C050,0.5,full81,80,accuracy,-0.0004938271604938094,-0.0014814814814814615,0.0006172839506172978
REP_C100,1.0,full81,80,accuracy,-0.0001234567901234218,-0.0013580246913579897,0.001111111111111146
REP_C200,2.0,full81,80,accuracy,-0.0001234567901234218,-0.0013580246913579733,0.0011111111111111681
REP_C400,4.0,full81,80,accuracy,-0.0001234567901234218,-0.0013580246913579897,0.0011111111111111517
REP_C025,0.25,full81,80,balanced_accuracy,-0.0011071913161465386,-0.003131029107708241,0.0011450216450216546
REP_C050,0.5,full81,80,balanced_accuracy,-0.0013322026232474137,-0.003866954997738635,0.001255508173418629
REP_C100,1.0,full81,80,balanced_accuracy,-0.001133262260127932,-0.0036365170898753152,0.0013439620081411143
REP_C200,2.0,full81,80,balanced_accuracy,-0.001133262260127932,-0.0036182213930347714,0.0014164663694514255
REP_C400,4.0,full81,80,balanced_accuracy,-0.001133262260127932,-0.0035846328422821302,0.0014284058603088276
REP_C025,0.25,full81,80,keyhole_recall,-0.0026666666666666726,-0.006619047619047613,0.0014285714285714012
REP_C050,0.5,full81,80,keyhole_recall,-0.002666666666666662,-0.008047619047619031,0.0027142857142857134
REP_C100,1.0,full81,80,keyhole_recall,-0.002714285714285708,-0.007476190476190464,0.0020952380952381057
REP_C200,2.0,full81,80,keyhole_recall,-0.002714285714285708,-0.007476190476190453,0.0020476190476190646
REP_C400,4.0,full81,80,keyhole_recall,-0.002714285714285708,-0.00747619047619047,0.0020952380952380945
REP_C025,0.25,full81,80,conduction_recall,0.000452284034373579,0.0,0.0009068294889190198
REP_C050,0.5,full81,80,conduction_recall,2.2614201718618167e-06,-0.0008955223880597052,0.0007553143374038728
REP_C100,1.0,full81,80,conduction_recall,0.00044776119402984425,-0.0004590682948892144,0.0014993215739484368
REP_C200,2.0,full81,80,conduction_recall,0.00044776119402984425,-0.00045906829488920347,0.0015015829941202985
REP_C400,4.0,full81,80,conduction_recall,0.00044776119402984425,-0.0004590682948891922,0.0013591135232926322
REP_C025,0.25,full81,80,roc_auc,0.0001234520040490239,-6.340591415219268e-05,0.0003086300101225625
REP_C050,0.5,full81,80,roc_auc,0.00023960285154311922,2.1881932329664565e-05,0.0004522840343735634
REP_C100,1.0,full81,80,roc_auc,0.00017619693739092112,-0.00010213004242860535,0.0004270347397212785
REP_C200,2.0,full81,80,roc_auc,0.00021716094850421364,-3.0317029570815768e-05,0.00045060412224591246
REP_C400,4.0,full81,80,roc_auc,0.00024858392022569786,-7.861127264119639e-06,0.0004971818397191757
REP_C025,0.25,full81,80,pr_auc,0.0007726604249437274,-1.489857340307972e-05,0.0016817332870405503
REP_C050,0.5,full81,80,pr_auc,0.0011738463638928608,0.00035968389537069644,0.0020802814290701095
REP_C100,1.0,full81,80,pr_auc,0.0011580441381967232,-2.323236700740719e-06,0.0022893480980295277
REP_C200,2.0,full81,80,pr_auc,0.001224164299515973,0.0001680361239341476,0.00227671269033024
REP_C400,4.0,full81,80,pr_auc,0.001353455759689781,0.00029110045519270127,0.002448415748786809
REP_C025,0.25,full81,80,brier_score,-0.0001438416790629624,-0.00037863981797872686,5.9574963269128195e-05
REP_C050,0.5,full81,80,brier_score,-0.0002592430706790527,-0.0005751667187428453,4.307882189413484e-05
