simulation_id,numeric_simulation_id,P,VX,LS,ST,LS_source_m,LS_definition,feature_units,T0_melt_pool_width_um,T0_penetration_depth_um,T0_melt_pool_kinetic_energy_nJ,adaptive_melt_pool_kinetic_energy_nJ,T0_total_vertical_height_um,adaptive_total_vertical_height_um,T0_observation_count,adaptive_observation_count,T0_definition,adaptive_definition,kinetic_source_unit,kinetic_report_unit,total_height_internal_unit,total_height_report_unit,kinetic_invalid_row_count,phase1_unstable_depth_window,huggingface_revision
sim_00044,44,144.999955433,0.569412101686,75.2189895652,349.795043891,7.52189895652e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",171.50607,49.850550000000005,1.364982,1.3163850000000001,80.41339,75.99200762342662,17887,89907,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00045,45,145.249113956,0.501139719932,75.1242767898,325.186450026,7.51242767898e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",181.20564,53.35957,1.427203,1.274704,85.2399,77.33693564659916,19501,86508,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00046,46,145.536707456,0.311971481812,75.58139703149999,356.422554756,7.55813970315e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",219.07139999999998,62.49203,1.605738,1.1939639999999998,84.49150999999999,72.62867075041868,17415,69420,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00047,47,146.427721311,0.978546391515,46.1745657385,377.807319924,4.61745657385e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",107.70817000000001,46.563705000000006,1.2361065,1.172336,65.87016,62.55140760913491,10312,52729,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00048,48,149.217972816,0.206404715799,48.737952716399995,365.118947745,4.87379527164e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",186.0660249999,62.73913,1.5031995,1.069425,76.34071,68.4166225255467,14186,44252,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00049,49,149.254341218,0.887957223036,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",112.30330000000001,54.44253,1.706918,1.489154,79.02216,72.96261537703685,13515,62528,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00050,50,149.73987868,0.504680707931,69.723584777,320.536129041,6.9723584777e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",175.6206,54.75336,1.479571,1.3273740000000003,84.75428,82.30779712903313,19523,86694,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00051,51,149.779509657,0.251536582152,48.4927831067,381.35096431,4.84927831067e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",185.73009999989998,62.751915,1.667281,1.2646549999999999,78.973885,75.14170283684507,15766,56937,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00052,52,150.924001842,0.859014749555,85.4585725094,302.841995718,8.54585725094e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",151.56012,38.800575,1.4158860000000002,1.3079115,68.29890499999999,64.81355740106665,11824,60456,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00053,53,151.505871803,0.995509859725,67.25808480079999,301.996554082,6.72580848008e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",127.03549999999998,42.39804,1.3873015,1.205452,66.58751,61.85493111843243,10184,52071,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
