model,subset,budget,mean_accuracy,ci_lower,ci_upper
P1,B1_q20,25,0.8276470588235295,0.8182352941176472,0.8376470588235294
P1,B1_q20,26,0.8300000000000001,0.8211764705882354,0.8394117647058824
P1,B1_q20,27,0.8294117647058824,0.8217647058823531,0.8382352941176471
P1,B1_q20,28,0.8341176470588236,0.8288235294117647,0.8394117647058824
P1,B1_q20,29,0.8305882352941177,0.8211764705882354,0.8400000000000001
P1,B1_q20,30,0.8305882352941177,0.8205882352941177,0.8405882352941176
P1,B1_q20,31,0.8311764705882354,0.8229411764705883,0.8388235294117647
P1,B1_q20,32,0.8341176470588236,0.8258823529411765,0.8423529411764706
P1,B1_q20,33,0.8329411764705883,0.825294117647059,0.8394117647058824
P1,B1_q20,34,0.8364705882352942,0.8294117647058824,0.8441176470588235
P1,B1_q20,35,0.8394117647058824,0.8300000000000001,0.8488235294117649
P1,B1_q20,36,0.8382352941176471,0.8270588235294118,0.8494117647058825
P1,B1_q20,37,0.8388235294117647,0.8294117647058824,0.8488235294117648
P1,B1_q20,38,0.8423529411764706,0.8329411764705883,0.8511764705882354
P1,B1_q20,39,0.8423529411764706,0.8329411764705883,0.851764705882353
P1,B1_q20,40,0.8464705882352941,0.8388235294117647,0.8541176470588235
P1,B1_q20,41,0.8464705882352941,0.8400000000000001,0.8529411764705882
P1,B1_q20,42,0.8452941176470589,0.8376470588235294,0.8529411764705882
P1,B1_q20,43,0.8447058823529412,0.8376470588235294,0.851764705882353
P1,B1_q20,44,0.8452941176470589,0.8382352941176471,0.8529411764705882
P1,B1_q20,45,0.8511764705882354,0.8441176470588235,0.8582352941176472
P1,B1_q20,46,0.8476470588235294,0.8411764705882353,0.8547058823529412
P1,B1_q20,47,0.8494117647058823,0.8423529411764706,0.8570588235294119
P1,B1_q20,48,0.8511764705882353,0.8441176470588235,0.8582352941176472
P1,B1_q20,49,0.85,0.8429411764705883,0.8570588235294118
P1,B1_q20,50,0.8529411764705884,0.8452941176470589,0.8605882352941178
P1,B1_q20,51,0.8529411764705882,0.8452941176470589,0.8605882352941177
P1,B1_q20,52,0.8494117647058823,0.8423529411764706,0.8564705882352943
P1,B1_q20,53,0.8547058823529412,0.8470588235294118,0.8623529411764708
P1,B1_q20,54,0.8558823529411766,0.8488235294117648,0.863529411764706
P1,B1_q20,55,0.8541176470588235,0.8476470588235294,0.8605882352941178
P1,B1_q20,56,0.8588235294117647,0.8511764705882353,0.8658823529411765
P1,B1_q20,57,0.8594117647058823,0.8535147058823529,0.8658823529411764
P1,B1_q20,58,0.8582352941176472,0.8529411764705882,0.8629411764705883
P1,B1_q20,59,0.8558823529411766,0.8494117647058823,0.8623529411764708
P1,B1_q20,60,0.8564705882352941,0.8511764705882353,0.8617647058823529
P1,B1_q20,61,0.8576470588235294,0.8529411764705882,0.8623529411764705
P1,B1_q20,62,0.855294117647059,0.8482352941176471,0.8617647058823531
P1,B1_q20,63,0.8576470588235294,0.851764705882353,0.8629411764705883
P1,B1_q20,64,0.858235294117647,0.8529264705882352,0.8629411764705882
P1,B1_q20,65,0.8576470588235294,0.851764705882353,0.8629411764705882
P1,B1_q20,66,0.858235294117647,0.8529411764705882,0.863529411764706
P1,B1_q20,67,0.8588235294117647,0.8529411764705882,0.8641176470588234
P1,B1_q20,68,0.8594117647058823,0.8535294117647059,0.8647058823529413
P1,B1_q20,69,0.8588235294117647,0.8523529411764705,0.8647058823529413
P1,B1_q20,70,0.8576470588235294,0.8511764705882353,0.8641176470588237
P1,B1_q20,71,0.8617647058823529,0.8552941176470588,0.8676470588235295
P1,B1_q20,72,0.8605882352941177,0.8547058823529412,0.8658823529411765
P1,B1_q20,73,0.8611764705882354,0.8547058823529412,0.8676470588235295
P1,B1_q20,74,0.8617647058823531,0.8552941176470588,0.8676470588235295
P1,B1_q20,75,0.8623529411764708,0.8564705882352941,0.8676470588235295
P1,B1_q20,76,0.8617647058823531,0.8552941176470588,0.8676470588235295
P1,B1_q20,77,0.863529411764706,0.8576470588235294,0.8694117647058824
P1,B1_q20,78,0.8629411764705883,0.8570588235294118,0.8688235294117648
P1,B1_q20,79,0.8617647058823531,0.8552941176470588,0.8676470588235295
P1,B1_q20,80,0.8611764705882354,0.8547058823529412,0.8676470588235293
P1,B1_q30,16,0.8320000000000002,0.8139900000000001,0.8480000000000002
P1,B1_q30,17,0.8496,0.8348000000000002,0.8632000000000002
P1,B1_q30,18,0.8516,0.8400000000000001,0.8624
P1,B1_q30,19,0.8556000000000001,0.8444,0.8656
P1,B1_q30,20,0.8580000000000002,0.8480000000000001,0.8664000000000002
P1,B1_q30,21,0.8580000000000002,0.8496000000000002,0.866
P1,B1_q30,22,0.8580000000000002,0.8512000000000002,0.8644000000000002
P1,B1_q30,23,0.8596,0.8512000000000002,0.8680000000000001
P1,B1_q30,24,0.8612,0.8524,0.8696000000000004
P1,B1_q30,25,0.8700000000000001,0.8640000000000002,0.8764000000000001
P1,B1_q30,26,0.8708000000000002,0.8636000000000001,0.8780000000000003
P1,B1_q30,27,0.8732000000000001,0.8676,0.8796000000000002
P1,B1_q30,28,0.8768,0.8736,0.8800000000000001
P1,B1_q30,29,0.8748000000000001,0.8680000000000001,0.8808000000000001
P1,B1_q30,30,0.8764000000000001,0.8704000000000003,0.8820000000000002
P1,B1_q30,31,0.8764000000000001,0.8712000000000002,0.8816000000000003
P1,B1_q30,32,0.8780000000000001,0.8724000000000002,0.8836000000000002
P1,B1_q30,33,0.8768,0.8716000000000003,0.8816
P1,B1_q30,34,0.8792000000000002,0.8748000000000002,0.8836
P1,B1_q30,35,0.8804000000000002,0.8756,0.8856000000000002
P1,B1_q30,36,0.8808000000000001,0.8740000000000002,0.8876000000000002
P1,B1_q30,37,0.8812000000000001,0.8760000000000001,0.8864000000000001
P1,B1_q30,38,0.8840000000000001,0.8792000000000002,0.8884000000000002
P1,B1_q30,39,0.8852000000000002,0.8804000000000001,0.8904000000000002
P1,B1_q30,40,0.8868000000000003,0.8824000000000002,0.8912000000000001
P1,B1_q30,41,0.8880000000000002,0.8828000000000001,0.8932
P1,B1_q30,42,0.8876000000000003,0.8828000000000001,0.8924
P1,B1_q30,43,0.8872000000000002,0.882,0.8920000000000001
P1,B1_q30,44,0.8868000000000003,0.8816,0.8920000000000001
P1,B1_q30,45,0.8924000000000003,0.8860000000000001,0.8984000000000002
P1,B1_q30,46,0.8900000000000002,0.8848000000000003,0.8948000000000003
P1,B1_q30,47,0.8916000000000002,0.8860000000000001,0.8972000000000001
P1,B1_q30,48,0.8932,0.8868000000000003,0.8992000000000001
P1,B1_q30,49,0.8920000000000001,0.8860000000000003,0.8976000000000001
P1,B1_q30,50,0.8964000000000002,0.8907999999999999,0.9020100000000002
P1,B1_q30,51,0.8960000000000001,0.8904,0.9016
P1,B1_q30,52,0.8936000000000002,0.8880000000000001,0.8992000000000001
P1,B1_q30,53,0.8976000000000001,0.8916000000000002,0.9036000000000002
P1,B1_q30,54,0.8984,0.8928,0.9040000000000001
P1,B1_q30,55,0.8964000000000001,0.8916000000000001,0.9012
P1,B1_q30,56,0.9008,0.8956,0.9056000000000001
P1,B1_q30,57,0.9020000000000001,0.8972000000000001,0.9068000000000002
P1,B1_q30,58,0.9000000000000001,0.8956,0.9044000000000001
P1,B1_q30,59,0.8976000000000001,0.8920000000000001,0.9028000000000003
P1,B1_q30,60,0.8992000000000001,0.8940000000000001,0.9036000000000002
P1,B1_q30,61,0.8996000000000002,0.8952,0.9036000000000002
P1,B1_q30,62,0.898,0.8920000000000001,0.9036000000000002
P1,B1_q30,63,0.9008,0.8968,0.9044000000000001
P1,B1_q30,64,0.9012,0.8972000000000001,0.9048
P1,B1_q30,65,0.9004000000000001,0.8960000000000001,0.9043999999999999
P1,B1_q30,66,0.9012,0.8972000000000001,0.9052000000000001
P1,B1_q30,67,0.9012,0.8968,0.9052000000000001
P1,B1_q30,68,0.9019999999999999,0.8976,0.906
P1,B1_q30,69,0.9012,0.8964000000000002,0.9056000000000001
P1,B1_q30,70,0.9008000000000003,0.8963999999999999,0.9052
P1,B1_q30,71,0.9039999999999999,0.8992000000000001,0.9084
P1,B1_q30,72,0.9028,0.8984,0.9067999999999999
P1,B1_q30,73,0.9028000000000003,0.8976,0.9075999999999999
P1,B1_q30,74,0.9036000000000002,0.8988000000000002,0.908
P1,B1_q30,75,0.9039999999999999,0.8996000000000001,0.9080000000000001
P1,B1_q30,76,0.9027999999999998,0.898,0.9072000000000001
P1,B1_q30,77,0.9048000000000002,0.9004,0.9092
P1,B1_q30,78,0.9044000000000001,0.8996000000000002,0.9088
P1,B1_q30,79,0.9036,0.8988000000000002,0.9076000000000001
P1,B1_q30,80,0.9028000000000003,0.8976000000000003,0.9076000000000001
