arm,c,region,component,association,candidate_rho,repeat_mean_rho,ci_lower,ci_upper,bottom_B1_quartile_mean,top_B1_quartile_mean,top_minus_bottom
REP_C100,1.0,LATE_B41_80,r_ST,spearman_vs_B1,0.15717721961695602,0.15649522057833845,0.1384111591660522,0.17359211755849716,,,
REP_C100,1.0,LATE_B41_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.2002089954763542,0.2923335838534851,0.09212458837713092
REP_C100,1.0,OVERALL_B17_80,r_N,spearman_vs_B1,-0.013798559636094759,-0.012796549890133149,-0.02804942914034388,0.0036429728541617964,,,
REP_C100,1.0,OVERALL_B17_80,r_N,B1_top_vs_bottom_quartile,,,,,0.20266737930653916,0.2064492473051206,0.003781867998581434
REP_C100,1.0,OVERALL_B17_80,r_T,spearman_vs_B1,-0.15176487791179957,-0.15117480608629114,-0.16955129373798666,-0.13295236645372768,,,
REP_C100,1.0,OVERALL_B17_80,r_T,B1_top_vs_bottom_quartile,,,,,0.6054370537743938,0.48769706898084797,-0.11773998479354586
REP_C100,1.0,OVERALL_B17_80,r_ST,spearman_vs_B1,0.15260379463537013,0.1518801747590266,0.12676026704055424,0.1765126713662477,,,
REP_C100,1.0,OVERALL_B17_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.19189556691906698,0.3058536837140314,0.1139581167949644
REP_C200,2.0,EARLY_B17_24,r_N,spearman_vs_B1,0.08065163076405174,0.04818640043568115,-0.00980920248446098,0.10839324986159639,,,
REP_C200,2.0,EARLY_B17_24,r_N,B1_top_vs_bottom_quartile,,,,,0.21130163145456454,0.2239183479143774,0.012616716459812855
REP_C200,2.0,EARLY_B17_24,r_T,spearman_vs_B1,-0.08399149515029473,-0.07258758730472452,-0.14917720405768756,0.0036287274296478377,,,
REP_C200,2.0,EARLY_B17_24,r_T,B1_top_vs_bottom_quartile,,,,,0.5872119503709434,0.5139983110613009,-0.07321363930964253
REP_C200,2.0,EARLY_B17_24,r_ST,spearman_vs_B1,0.09030555854188345,0.03808401913486427,-0.055129507927951356,0.13579709277057772,,,
REP_C200,2.0,EARLY_B17_24,r_ST,B1_top_vs_bottom_quartile,,,,,0.2014864181744921,0.2620833410243218,0.060596922849829704
REP_C200,2.0,MID_B25_40,r_N,spearman_vs_B1,0.02061685999140219,-0.01246000532656941,-0.058702583983993376,0.03549304367353681,,,
REP_C200,2.0,MID_B25_40,r_N,B1_top_vs_bottom_quartile,,,,,0.15914083952421398,0.18946332315376327,0.030322483629549285
REP_C200,2.0,MID_B25_40,r_T,spearman_vs_B1,-0.17080335087435772,-0.16053922474282675,-0.20186536561451526,-0.11951898680013931,,,
REP_C200,2.0,MID_B25_40,r_T,B1_top_vs_bottom_quartile,,,,,0.6828903301598936,0.520368332055839,-0.16252199810405465
REP_C200,2.0,MID_B25_40,r_ST,spearman_vs_B1,0.12028942835285988,0.14783211471992702,0.09112789255539343,0.20422580485977032,,,
REP_C200,2.0,MID_B25_40,r_ST,B1_top_vs_bottom_quartile,,,,,0.15796883031589232,0.2901683447903977,0.1321995144745054
REP_C200,2.0,LATE_B41_80,r_N,spearman_vs_B1,-0.04486355119132902,-0.04406749204676098,-0.06598436593200153,-0.022935925219885737,,,
REP_C200,2.0,LATE_B41_80,r_N,B1_top_vs_bottom_quartile,,,,,0.2338905454419248,0.22051934699221873,-0.013371198449706079
REP_C200,2.0,LATE_B41_80,r_T,spearman_vs_B1,-0.1354240354058115,-0.13723370540865173,-0.1555972998828669,-0.11813306667477648,,,
REP_C200,2.0,LATE_B41_80,r_T,B1_top_vs_bottom_quartile,,,,,0.5670340487404564,0.4903903368940161,-0.07664371184644025
REP_C200,2.0,LATE_B41_80,r_ST,spearman_vs_B1,0.15297235692608366,0.15046877712707946,0.12957151466546488,0.17157046026097555,,,
REP_C200,2.0,LATE_B41_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.19907540581761893,0.28909031611376507,0.09001491029614614
REP_C200,2.0,OVERALL_B17_80,r_N,spearman_vs_B1,-0.006555207675977879,-0.006233763071404752,-0.02380870778938506,0.011765025384852936,,,
REP_C200,2.0,OVERALL_B17_80,r_N,B1_top_vs_bottom_quartile,,,,,0.20756365117061418,0.21633325970757644,0.008769608536962265
REP_C200,2.0,OVERALL_B17_80,r_T,spearman_vs_B1,-0.1470247197427405,-0.14630610088023446,-0.1662456918921157,-0.12653435415808956,,,
