experiment_name,complete_content_bundle_sha256,file_count,total_size_bytes,partition
P-143p909481867_VX-0p917293492006_LS-5p50242100517e-05_ST-352p206869428_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25908081225e-06_H-cf6d926251,2aa0fb8a5f9b6a781b7b36e9c3007a74c46e6cc08c23e85a1f2c240cc80cf886,1224,69207468,old-data-local
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,d8782eec15b45eb9a1b8ad863c537172e4ef5e88d5524fd31fa704eb0769e554,585,66519259,new-data
P-144p684844876_VX-0p221020126644_LS-8p32765690701e-05_ST-337p418493583_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p18266122469e-05_H-73ae961aa0,c22e0965ae0e5e06e194ac2428e3910f226a853bc82f35985c59a38bdf472c9b,333,64968091,old-data-local
P-144p999955433_VX-0p569412101686_LS-7p52189895652e-05_ST-349p795043891_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p47210761544e-06_H-24e0a43587,c6ddd30723dbf0fe0166debaf482456c3561174f76896317efdad16911c2e3b2,777,67904108,old-data-local
P-145p199982561_VX-0p253198682602_LS-7p7513591008e-05_ST-398p693210886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90527081478e-05_H-2d34966482,f6223ed43853a8307e8b5e67894de05bfa859b7611c7e3cc39d88a5383aa5f9c,375,65240821,old-data-remote-clean
P-145p249113956_VX-0p501139719932_LS-7p51242767898e-05_ST-325p186450026_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p62629863717e-06_H-30d8d23b36,4363bed85f15c0f0a46211e11f6c7f1cabec383a3e0df29f62643eefa04a0586,667,13553290,old-data-local
P-145p536707456_VX-0p311971481812_LS-7p55813970315e-05_ST-356p422554756_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p54633384276e-05_H-f404b6f8f4,939c2e8adbb15494b69ed2969bf9b7db17548569a3d33c7fc5745e1e42c70d7d,450,65714341,old-data-local
P-146p427721311_VX-0p978546391515_LS-4p61745657385e-05_ST-377p807319924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p92988441309e-06_H-c321cc4e90,8e3dab8c807647d8e4190c07f078ec43bc41781c9f2a82e05c2e7cf48e2e931c,1287,69272608,old-data-local
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,e8f84570e818dd5f59ea56861f29329ce0d2b0616ce3422065b226a520886a0f,906,68778602,new-data
P-149p217972816_VX-0p206404715799_LS-4p87379527164e-05_ST-365p118947745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p33721433367e-05_H-b40dbd8ddd,565596832a978521fec258cf9ef8929d2cb3e458c1e029e31e9f6983c8dd40bd,312,64731753,old-data-local
P-149p254341218_VX-0p887957223036_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p10571289147e-06_H-306f9d252b,f4193a0dd8fc3fd22f4026b6adbf2f0ff40420f2c89a0bb0d00e1ea2a57670c8,1824,50812075,old-data-local
