population,repeat,arm,threshold,reached,first_true_query_budget,right_censored_at
main_364,4,P3_MONO_EXPECTED_GAIN_M3,0.95,True,23.0,80
main_364,4,P3_MONO_EXPECTED_GAIN_M3,0.97,True,48.0,80
main_364,4,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,80
main_364,5,P0_M3_MARGIN_STANDARD,0.95,True,23.0,120
main_364,5,P0_M3_MARGIN_STANDARD,0.97,True,25.0,120
main_364,5,P0_M3_MARGIN_STANDARD,0.98,True,31.0,120
main_364,5,P1_M3_MARGIN_MONO,0.95,True,25.0,78
main_364,5,P1_M3_MARGIN_MONO,0.97,True,31.0,78
main_364,5,P1_M3_MARGIN_MONO,0.98,False,,78
main_364,5,P2_MONO_BISECTION_M3,0.95,True,37.0,83
main_364,5,P2_MONO_BISECTION_M3,0.97,True,51.0,83
main_364,5,P2_MONO_BISECTION_M3,0.98,True,52.0,83
main_364,5,P3_MONO_EXPECTED_GAIN_M3,0.95,True,25.0,76
main_364,5,P3_MONO_EXPECTED_GAIN_M3,0.97,True,45.0,76
main_364,5,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,76
main_364,6,P0_M3_MARGIN_STANDARD,0.95,True,19.0,120
main_364,6,P0_M3_MARGIN_STANDARD,0.97,True,29.0,120
main_364,6,P0_M3_MARGIN_STANDARD,0.98,True,35.0,120
main_364,6,P1_M3_MARGIN_MONO,0.95,True,19.0,78
main_364,6,P1_M3_MARGIN_MONO,0.97,True,25.0,78
main_364,6,P1_M3_MARGIN_MONO,0.98,True,33.0,78
main_364,6,P2_MONO_BISECTION_M3,0.95,True,21.0,92
main_364,6,P2_MONO_BISECTION_M3,0.97,True,38.0,92
main_364,6,P2_MONO_BISECTION_M3,0.98,True,52.0,92
main_364,6,P3_MONO_EXPECTED_GAIN_M3,0.95,True,20.0,80
main_364,6,P3_MONO_EXPECTED_GAIN_M3,0.97,True,42.0,80
main_364,6,P3_MONO_EXPECTED_GAIN_M3,0.98,True,44.0,80
main_364,7,P0_M3_MARGIN_STANDARD,0.95,True,24.0,120
main_364,7,P0_M3_MARGIN_STANDARD,0.97,True,25.0,120
main_364,7,P0_M3_MARGIN_STANDARD,0.98,True,31.0,120
main_364,7,P1_M3_MARGIN_MONO,0.95,True,24.0,80
main_364,7,P1_M3_MARGIN_MONO,0.97,True,34.0,80
main_364,7,P1_M3_MARGIN_MONO,0.98,False,,80
main_364,7,P2_MONO_BISECTION_M3,0.95,True,44.0,86
main_364,7,P2_MONO_BISECTION_M3,0.97,True,53.0,86
main_364,7,P2_MONO_BISECTION_M3,0.98,False,,86
main_364,7,P3_MONO_EXPECTED_GAIN_M3,0.95,True,34.0,81
main_364,7,P3_MONO_EXPECTED_GAIN_M3,0.97,True,46.0,81
main_364,7,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,81
main_364,8,P0_M3_MARGIN_STANDARD,0.95,True,29.0,120
main_364,8,P0_M3_MARGIN_STANDARD,0.97,True,38.0,120
main_364,8,P0_M3_MARGIN_STANDARD,0.98,True,39.0,120
main_364,8,P1_M3_MARGIN_MONO,0.95,True,29.0,81
main_364,8,P1_M3_MARGIN_MONO,0.97,True,38.0,81
main_364,8,P1_M3_MARGIN_MONO,0.98,True,39.0,81
main_364,8,P2_MONO_BISECTION_M3,0.95,True,19.0,88
main_364,8,P2_MONO_BISECTION_M3,0.97,True,36.0,88
main_364,8,P2_MONO_BISECTION_M3,0.98,True,56.0,88
main_364,8,P3_MONO_EXPECTED_GAIN_M3,0.95,True,28.0,80
main_364,8,P3_MONO_EXPECTED_GAIN_M3,0.97,True,34.0,80
main_364,8,P3_MONO_EXPECTED_GAIN_M3,0.98,True,35.0,80
main_364,9,P0_M3_MARGIN_STANDARD,0.95,True,27.0,120
main_364,9,P0_M3_MARGIN_STANDARD,0.97,True,28.0,120
main_364,9,P0_M3_MARGIN_STANDARD,0.98,True,29.0,120
main_364,9,P1_M3_MARGIN_MONO,0.95,True,28.0,78
main_364,9,P1_M3_MARGIN_MONO,0.97,True,29.0,78
main_364,9,P1_M3_MARGIN_MONO,0.98,False,,78
main_364,9,P2_MONO_BISECTION_M3,0.95,True,39.0,85
main_364,9,P2_MONO_BISECTION_M3,0.97,True,52.0,85
main_364,9,P2_MONO_BISECTION_M3,0.98,False,,85
