population,repeat,arm,correct_resolution_threshold,error_cap,reached,first_true_query_budget,wrong_inference_rate_at_hit
full_405,12,P1_M3_MARGIN_MONO,0.8,0.01,True,37.0,0.006825938566552901
full_405,12,P1_M3_MARGIN_MONO,0.9,0.01,True,57.0,0.0064516129032258064
full_405,12,P1_M3_MARGIN_MONO,0.95,0.01,True,72.0,0.006349206349206349
full_405,12,P2_MONO_BISECTION_M3,0.8,0.01,True,37.0,0.003424657534246575
full_405,12,P2_MONO_BISECTION_M3,0.9,0.01,True,53.0,0.003194888178913738
full_405,12,P2_MONO_BISECTION_M3,0.95,0.01,True,71.0,0.006329113924050633
full_405,12,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,32.0,0.006802721088435374
full_405,12,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,52.0,0.006329113924050633
full_405,12,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,69.0,0.006289308176100629
full_405,13,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,13,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,13,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,13,P1_M3_MARGIN_MONO,0.8,0.01,True,39.0,0.003436426116838488
full_405,13,P1_M3_MARGIN_MONO,0.9,0.01,True,58.0,0.003246753246753247
full_405,13,P1_M3_MARGIN_MONO,0.95,0.01,True,73.0,0.006369426751592357
full_405,13,P2_MONO_BISECTION_M3,0.8,0.01,True,41.0,0.0035211267605633804
full_405,13,P2_MONO_BISECTION_M3,0.9,0.01,True,61.0,0.0032679738562091504
full_405,13,P2_MONO_BISECTION_M3,0.95,0.01,True,78.0,0.006472491909385114
full_405,13,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,34.0,0.003367003367003367
full_405,13,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,55.0,0.0031847133757961785
full_405,13,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,71.0,0.006329113924050633
full_405,14,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,14,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,14,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,14,P1_M3_MARGIN_MONO,0.8,0.01,True,39.0,0.003484320557491289
full_405,14,P1_M3_MARGIN_MONO,0.9,0.01,True,56.0,0.0032258064516129032
full_405,14,P1_M3_MARGIN_MONO,0.95,0.01,True,70.0,0.006309148264984227
full_405,14,P2_MONO_BISECTION_M3,0.8,0.01,True,41.0,0.0
full_405,14,P2_MONO_BISECTION_M3,0.9,0.01,True,55.0,0.003215434083601286
full_405,14,P2_MONO_BISECTION_M3,0.95,0.01,True,73.0,0.006369426751592357
full_405,14,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,38.0,0.0
full_405,14,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,54.0,0.0031645569620253164
full_405,14,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,69.0,0.00625
full_405,15,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,15,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,15,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,15,P1_M3_MARGIN_MONO,0.8,0.01,True,48.0,0.009933774834437087
full_405,15,P1_M3_MARGIN_MONO,0.9,0.01,True,57.0,0.00964630225080386
full_405,15,P1_M3_MARGIN_MONO,0.95,0.01,True,74.0,0.009554140127388535
full_405,15,P2_MONO_BISECTION_M3,0.8,0.01,True,55.0,0.01
full_405,15,P2_MONO_BISECTION_M3,0.9,0.01,True,63.0,0.00980392156862745
full_405,15,P2_MONO_BISECTION_M3,0.95,0.01,True,78.0,0.00967741935483871
full_405,15,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,37.0,0.01
full_405,15,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,54.0,0.009554140127388535
full_405,15,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,71.0,0.009433962264150943
full_405,16,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,16,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,16,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,16,P1_M3_MARGIN_MONO,0.8,0.01,True,39.0,0.0034482758620689655
full_405,16,P1_M3_MARGIN_MONO,0.9,0.01,True,58.0,0.003246753246753247
full_405,16,P1_M3_MARGIN_MONO,0.95,0.01,True,72.0,0.006349206349206349
full_405,16,P2_MONO_BISECTION_M3,0.8,0.01,True,40.0,0.0
full_405,16,P2_MONO_BISECTION_M3,0.9,0.01,True,56.0,0.0
full_405,16,P2_MONO_BISECTION_M3,0.95,0.01,True,73.0,0.006369426751592357
full_405,16,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,34.0,0.003389830508474576
full_405,16,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,54.0,0.0031847133757961785
full_405,16,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,71.0,0.006329113924050633
full_405,17,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,17,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,17,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,17,P1_M3_MARGIN_MONO,0.8,0.01,True,48.0,0.009933774834437087
full_405,17,P1_M3_MARGIN_MONO,0.9,0.01,True,57.0,0.00964630225080386
full_405,17,P1_M3_MARGIN_MONO,0.95,0.01,True,74.0,0.009554140127388535
full_405,17,P2_MONO_BISECTION_M3,0.8,0.01,True,55.0,0.01
full_405,17,P2_MONO_BISECTION_M3,0.9,0.01,True,63.0,0.00980392156862745
full_405,17,P2_MONO_BISECTION_M3,0.95,0.01,True,78.0,0.00967741935483871
full_405,17,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,37.0,0.01
full_405,17,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,54.0,0.009554140127388535
full_405,17,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,71.0,0.009433962264150943
full_405,18,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,18,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,18,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,18,P1_M3_MARGIN_MONO,0.8,0.01,True,33.0,0.009933774834437087
full_405,18,P1_M3_MARGIN_MONO,0.9,0.01,True,51.0,0.00946372239747634
full_405,18,P1_M3_MARGIN_MONO,0.95,0.01,True,71.0,0.00946372239747634
full_405,18,P2_MONO_BISECTION_M3,0.8,0.01,True,39.0,0.01
full_405,18,P2_MONO_BISECTION_M3,0.9,0.01,True,58.0,0.00964630225080386
full_405,18,P2_MONO_BISECTION_M3,0.95,0.01,True,74.0,0.009554140127388535
full_405,18,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,38.0,0.009900990099009901
full_405,18,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,54.0,0.009554140127388535
full_405,18,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,71.0,0.00946372239747634
full_405,19,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,19,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
