population,repeat,arm,true_query_count_B120,queried_KH_fraction,queried_log_h_mean,queried_log_h_median,selected_margin_uncertainty_mean,selected_G_KH_mean,selected_G_C_mean,selected_expected_gain_mean,newly_inferred_targets_per_true_query,targets_later_conflicted_N,retrospectively_wrong_inferred_targets_N,wrong_targets_known_violation_points_N
main_364,1,P3_MONO_EXPECTED_GAIN_M3,76,0.3815789473684211,20.540659974462017,20.570030037438144,0.4050725612215113,1.0833333333333333,3.65,2.3374580724129164,3.8289473684210527,0,2,2
main_364,2,P0_M3_MARGIN_STANDARD,120,0.375,20.538368459135654,20.510982545482406,0.22743269536023458,0.0,0.0,0.0,0.0,0,0,0
main_364,2,P1_M3_MARGIN_MONO,77,0.38961038961038963,20.53651026086923,20.576388636556285,0.2916651442968997,2.1311475409836067,5.622950819672131,3.2386990523763077,3.7532467532467533,0,2,2
main_364,2,P2_MONO_BISECTION_M3,84,0.3333333333333333,20.498759934319203,20.510982545482406,0.32199062791843797,1.8970588235294117,2.823529411764706,2.298263663619579,3.357142857142857,0,2,2
main_364,2,P3_MONO_EXPECTED_GAIN_M3,77,0.38961038961038963,20.53651026086923,20.576388636556285,0.31022037490713056,2.2295081967213113,5.540983606557377,3.492756773237448,3.7532467532467533,0,2,2
main_364,3,P0_M3_MARGIN_STANDARD,120,0.38333333333333336,20.553656393364598,20.51243289128118,0.45170605702264954,0.0,0.0,0.0,0.0,0,0,0
main_364,3,P1_M3_MARGIN_MONO,80,0.4,20.562679311882043,20.576652720870282,0.6145329300221355,0.953125,8.28125,4.368222083109281,3.5875,0,3,3
main_364,3,P2_MONO_BISECTION_M3,81,0.3333333333333333,20.51947991651847,20.513475223999947,0.43734206299405903,1.7692307692307692,2.5384615384615383,2.022822691623835,3.5308641975308643,0,3,3
main_364,3,P3_MONO_EXPECTED_GAIN_M3,80,0.4,20.564351381577666,20.576652720870282,0.5851726165443628,1.0,8.765625,4.5929584083376565,3.5875,0,3,3
main_364,4,P0_M3_MARGIN_STANDARD,120,0.38333333333333336,20.554223057336,20.51243289128118,0.4470504163315798,0.0,0.0,0.0,0.0,0,0,0
main_364,4,P1_M3_MARGIN_MONO,80,0.4125,20.568504565391347,20.582884956239354,0.5816759897275283,1.078125,5.15625,2.920316326950057,3.6,0,3,3
main_364,4,P2_MONO_BISECTION_M3,80,0.3625,20.530397097054557,20.52307714279304,0.4910398730092778,1.265625,2.71875,1.9549476183635466,3.6,0,3,3
main_364,4,P3_MONO_EXPECTED_GAIN_M3,80,0.4,20.56713214131515,20.576652720870282,0.5794079654011124,1.484375,5.703125,3.418117819691905,3.6,0,3,3
main_364,5,P0_M3_MARGIN_STANDARD,120,0.38333333333333336,20.56035859451396,20.51243289128118,0.45664277733379816,0.0,0.0,0.0,0.0,0,0,0
main_364,5,P1_M3_MARGIN_MONO,78,0.3974358974358974,20.56540041795013,20.576652720870282,0.6105031631470129,0.9838709677419355,8.225806451612904,4.39693038372705,3.6923076923076925,0,3,3
main_364,5,P2_MONO_BISECTION_M3,83,0.3253012048192771,20.505480895240368,20.480156626358145,0.46076214157383527,1.9402985074626866,2.7761194029850746,2.289712393294347,3.4096385542168677,0,3,3
main_364,5,P3_MONO_EXPECTED_GAIN_M3,76,0.39473684210526316,20.56394991897049,20.576652720870282,0.579158021093869,0.8833333333333333,7.966666666666667,4.178824502770164,3.8157894736842106,0,3,3
main_364,6,P0_M3_MARGIN_STANDARD,120,0.375,20.5445406328309,20.510982545482406,0.31559474524083886,0.0,0.0,0.0,0.0,0,0,0
main_364,6,P1_M3_MARGIN_MONO,78,0.38461538461538464,20.544384352383847,20.570030037438144,0.4400346250179877,1.8870967741935485,5.645161290322581,3.801620383876766,3.6923076923076925,0,2,2
