repeat,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,log_loss,false_negative,false_positive,true_negative,true_positive,row_count,source
20,log_h_logistic,full81,0.9902624195411784,0.9550542550228232,0.9629629629629628,0.9239767288331407,0.863013698630137,0.9849397590361446,0.028747501706048,0.1007355495367587,10,5,327,63,405,reused_phase1_5
20,log_h_logistic,B1_q30,0.9396051103368176,0.8508933981242638,0.88,0.8482868757259001,0.7560975609756098,0.9404761904761904,0.0905288209543061,0.3069394806183978,10,5,79,31,125,reused_phase1_5
20,log_h_logistic,B1_q20,0.8997641509433962,0.7979881725061384,0.8235294117647058,0.7965801886792453,0.6875,0.9056603773584906,0.1254891320497671,0.4196257721762428,10,5,48,22,85,reused_phase1_5
1,physics_ridge_residual_gp,full81,0.9916240303680476,0.9592596510994785,0.9679012345679012,0.9323320679980194,0.8767123287671232,0.9879518072289156,,,9,4,328,64,405,new_phase1_7
1,physics_ridge_residual_gp,B1_q30,0.9482352941176471,0.8430865758499071,0.896,0.8639705882352942,0.775,0.9529411764705882,,,9,4,81,31,125,new_phase1_7
1,physics_ridge_residual_gp,B1_q20,0.9156839622641509,0.8095204758380916,0.8588235294117647,0.8372641509433962,0.75,0.9245283018867925,,,8,4,49,24,85,new_phase1_7
2,physics_ridge_residual_gp,full81,0.991128899158277,0.9558426747389537,0.9654320987654321,0.9254827529295263,0.863013698630137,0.9879518072289156,,,10,4,328,63,405,new_phase1_7
2,physics_ridge_residual_gp,B1_q30,0.9451401311866429,0.8306059847164585,0.888,0.8485390578413834,0.7435897435897436,0.9534883720930233,,,10,4,82,29,125,new_phase1_7
2,physics_ridge_residual_gp,B1_q20,0.9097877358490566,0.7994615132591938,0.8470588235294118,0.8216391509433962,0.71875,0.9245283018867925,,,9,4,49,23,85,new_phase1_7
3,physics_ridge_residual_gp,full81,0.9897260273972602,0.9433087921810888,0.9629629629629629,0.9239767288331409,0.863013698630137,0.9849397590361446,,,10,5,327,63,405,new_phase1_7
3,physics_ridge_residual_gp,B1_q30,0.9384436701509873,0.8185552573744445,0.88,0.8482868757259001,0.7560975609756098,0.9404761904761905,,,10,5,79,31,125,new_phase1_7
3,physics_ridge_residual_gp,B1_q20,0.9163679808841099,0.7918406965184249,0.8588235294117647,0.8270609318996416,0.7096774193548387,0.9444444444444444,,,9,3,51,22,85,new_phase1_7
4,physics_ridge_residual_gp,full81,0.9910876382241294,0.9566563390280438,0.9654320987654321,0.9254827529295263,0.863013698630137,0.9879518072289156,,,10,4,328,63,405,new_phase1_7
4,physics_ridge_residual_gp,B1_q30,0.944635685599541,0.8620740691752097,0.888,0.8568559954102122,0.7619047619047619,0.9518072289156626,,,10,4,79,32,125,new_phase1_7
4,physics_ridge_residual_gp,B1_q20,0.9077277970011535,0.8142659149104687,0.8352941176470589,0.8137254901960784,0.7058823529411765,0.9215686274509803,,,10,4,47,24,85,new_phase1_7
5,physics_ridge_residual_gp,full81,0.9917065522363426,0.9619106725961348,0.9654320987654321,0.9254827529295263,0.863013698630137,0.9879518072289156,,,10,4,328,63,405,new_phase1_7
5,physics_ridge_residual_gp,B1_q30,0.9458823529411764,0.8565968725987787,0.888,0.8514705882352941,0.75,0.9529411764705882,,,10,4,81,30,125,new_phase1_7
