simulation_id,frame_count,first_timestep,last_timestep,stored_sequence,unique_label_count,label_change_count,initial_emptiness_frames,forming_phase_frames,conduction_frames,keyhole_frames,screenshot_bug_frames,usable_physical_label_frames,any_keyhole,any_conduction,both_conduction_and_keyhole,conduction_only_definition,no_usable_physical_label,keyhole_fraction,persistent_keyhole_3_consecutive_frames,first_keyhole_timestep,first_keyhole_position_s,labels_dense_relative_to_monitor
sim_00161,142,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,37,68,0,37,105,False,True,False,True,False,0.0,False,,,False
sim_00162,191,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,32,122,0,37,154,False,True,False,True,False,0.0,False,,,False
sim_00163,219,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,43,139,0,36,182,False,True,False,True,False,0.0,False,,,False
sim_00164,112,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,34,41,0,37,75,False,True,False,True,False,0.0,False,,,False
sim_00165,336,342,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,36,213,0,87,249,False,True,False,True,False,0.0,False,,,False
sim_00166,263,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,148,80,0,35,228,False,True,False,True,False,0.0,False,,,False
sim_00167,311,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,36,210,0,65,246,False,True,False,True,False,0.0,False,,,False
sim_00168,276,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,40,200,0,36,240,False,True,False,True,False,0.0,False,,,False
sim_00169,140,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,34,69,0,37,103,False,True,False,True,False,0.0,False,,,False
sim_00170,400,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,1,55,344,0,0,399,False,True,False,True,False,0.0,False,,,False
sim_00171,348,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,34,217,0,97,251,False,True,False,True,False,0.0,False,,,False
sim_00172,347,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,41,214,0,92,255,False,True,False,True,False,0.0,False,,,False
sim_00173,447,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,1,62,384,0,0,446,False,True,False,True,False,0.0,False,,,False
sim_00174,176,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,41,99,0,36,140,False,True,False,True,False,0.0,False,,,False
sim_00175,171,0,68795,Screenshot Bug -> Forming Phase,2,1,0,143,0,0,28,143,False,False,False,False,False,0.0,False,,,False
sim_00176,374,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,197,66,0,111,263,False,True,False,True,False,0.0,False,,,False
sim_00177,132,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,33,62,0,37,95,False,True,False,True,False,0.0,False,,,False
sim_00178,376,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,1,74,301,0,0,375,False,True,False,True,False,0.0,False,,,False
sim_00179,268,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,51,180,0,37,231,False,True,False,True,False,0.0,False,,,False
sim_00180,247,0,115599,Initial Emptiness -> Conduction,2,1,37,0,210,0,0,210,False,True,False,True,False,0.0,False,,,False
sim_00181,185,0,115599,Initial Emptiness -> Conduction,2,1,37,0,148,0,0,148,False,True,False,True,False,0.0,False,,,False
sim_00182,392,0,115599,Initial Emptiness -> Conduction -> Initial Emptiness,2,2,131,0,261,0,0,261,False,True,False,True,False,0.0,False,,,False
sim_00183,195,0,115599,Initial Emptiness -> Conduction,2,1,33,0,162,0,0,162,False,True,False,True,False,0.0,False,,,False
sim_00184,100,0,115599,Initial Emptiness -> Conduction,2,1,36,0,64,0,0,64,False,True,False,True,False,0.0,False,,,False
sim_00185,364,0,115599,Initial Emptiness -> Conduction -> Initial Emptiness,2,2,100,0,264,0,0,264,False,True,False,True,False,0.0,False,,,False
sim_00186,124,0,115599,Initial Emptiness -> Conduction,2,1,35,0,89,0,0,89,False,True,False,True,False,0.0,False,,,False
sim_00187,251,0,115599,Initial Emptiness -> Conduction,2,1,36,0,215,0,0,215,False,True,False,True,False,0.0,False,,,False
sim_00188,263,0,115599,Initial Emptiness -> Conduction,2,1,36,0,227,0,0,227,False,True,False,True,False,0.0,False,,,False
sim_00189,127,0,115599,Initial Emptiness -> Conduction,2,1,35,0,92,0,0,92,False,True,False,True,False,0.0,False,,,False
sim_00190,340,0,115599,Initial Emptiness -> Conduction -> Initial Emptiness,2,2,62,0,278,0,0,278,False,True,False,True,False,0.0,False,,,False
sim_00191,343,0,115599,Initial Emptiness -> Conduction -> Initial Emptiness,2,2,62,0,281,0,0,281,False,True,False,True,False,0.0,False,,,False
sim_00192,151,0,115599,Initial Emptiness -> Conduction,2,1,35,0,116,0,0,116,False,True,False,True,False,0.0,False,,,False
sim_00193,358,0,115599,Initial Emptiness -> Conduction -> Initial Emptiness,2,2,76,0,282,0,0,282,False,True,False,True,False,0.0,False,,,False
sim_00194,392,0,115599,Initial Emptiness -> Conduction -> Initial Emptiness,2,2,102,0,290,0,0,290,False,True,False,True,False,0.0,False,,,False
sim_00195,257,0,115599,Initial Emptiness -> Conduction,2,1,31,0,226,0,0,226,False,True,False,True,False,0.0,False,,,False
sim_00196,164,0,115599,Initial Emptiness -> Conduction,2,1,33,0,131,0,0,131,False,True,False,True,False,0.0,False,,,False
sim_00197,112,0,115599,Initial Emptiness -> Conduction,2,1,34,0,78,0,0,78,False,True,False,True,False,0.0,False,,,False
sim_00198,129,0,115599,Initial Emptiness -> Conduction,2,1,34,0,95,0,0,95,False,True,False,True,False,0.0,False,,,False
sim_00199,248,0,115599,Initial Emptiness -> Conduction,2,1,35,0,213,0,0,213,False,True,False,True,False,0.0,False,,,False
sim_00200,413,0,115599,Initial Emptiness -> Conduction -> Initial Emptiness,2,2,113,0,300,0,0,300,False,True,False,True,False,0.0,False,,,False
sim_00201,422,0,115599,Initial Emptiness -> Conduction -> Initial Emptiness,2,2,108,0,314,0,0,314,False,True,False,True,False,0.0,False,,,False
sim_00202,390,0,115599,Initial Emptiness -> Conduction -> Initial Emptiness,2,2,72,0,318,0,0,318,False,True,False,True,False,0.0,False,,,False
sim_00203,116,0,115599,Initial Emptiness -> Conduction,2,1,35,0,81,0,0,81,False,True,False,True,False,0.0,False,,,False
sim_00204,348,0,115599,Initial Emptiness -> Conduction,2,1,35,0,313,0,0,313,False,True,False,True,False,0.0,False,,,False
