benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,9,0.16833333333333333,0.4,0.05663272297022772,0.043392399998992914,0.45,60,0.6666666666666666,0.09925613677408411,0.35,120,0.6666666666666666,0.09700006817849491,0.2722222222222222,180,0.5833333333333334,0.08024626573642951
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,10,0.17,0.47333333333333333,0.07474872890657847,0.03738580000026559,0.45,60,0.7,0.12889824972238437,0.375,120,0.7,0.12920264436585857,0.3111111111111111,180,0.6611111111111111,0.11807852057558461
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,6,0.2833333333333333,0.85,0.1630326823609525,0.028386199999658857,0.36666666666666664,60,0.85,0.16771271007868524,0.3416666666666667,120,0.8416666666666667,0.16965051670022113,0.28888888888888886,180,0.85,0.16216333027411278
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,7,0.27,0.3466666666666667,0.04974944171219165,0.04146270000092045,0.4666666666666667,60,0.4666666666666667,0.06835550651288354,0.35833333333333334,120,0.43333333333333335,0.06443765201355665,0.2777777777777778,180,0.34444444444444444,0.05120505848455775
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,8,0.2733333333333333,0.25,0.02830697700042456,0.04450879999967583,0.4666666666666667,60,0.35,0.04938080484833437,0.375,120,0.325,0.049981112539491106,0.28888888888888886,180,0.26666666666666666,0.039868162309422556
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,9,0.275,0.15166666666666667,0.0173814230771298,0.044042699999408796,0.4666666666666667,60,0.18333333333333332,0.022809800612256664,0.38333333333333336,120,0.19166666666666668,0.023970775712144114,0.29444444444444445,180,0.14444444444444443,0.019888112854614764
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,10,0.2733333333333333,0.21,0.02430303292982975,0.04110709999986284,0.4666666666666667,60,0.26666666666666666,0.03692813229686213,0.375,120,0.25833333333333336,0.036327875982539476,0.28888888888888886,180,0.21666666666666667,0.02911040278075993
branin,Thresholded Branin,gpc_fixed_iso,classifier_margin,classifier_margin,0,6,0.32,0.8833333333333333,0.24535436386226905,0.009643100000175764,0.5,60,0.9833333333333333,0.24554455822538573,0.43333333333333335,120,0.9916666666666667,0.24541408282464758,0.35,180,0.9666666666666667,0.24495133313621228
branin,Thresholded Branin,gpc_fixed_iso,classifier_margin,classifier_margin,0,7,0.27666666666666667,0.8866666666666667,0.2453818186176856,0.009270200000173645,0.2833333333333333,60,1.0,0.24707100437786625,0.325,120,1.0,0.24695781173324718,0.2722222222222222,180,1.0,0.24652349415419017
branin,Thresholded Branin,gpc_fixed_iso,classifier_margin,classifier_margin,0,8,0.2866666666666667,0.8416666666666667,0.24509984908351565,0.009103600001253653,0.35,60,0.9833333333333333,0.24702152236918826,0.38333333333333336,120,0.975,0.24717155616277178,0.3111111111111111,180,0.9777777777777777,0.24699736413564885
