run_id,repeat,fold,budget,revealed_count,candidate_count,revealed_prefix_sha256,source
w85__r04_f04,4,4,60,60,264,c2c23505fb5d28fa1a26de51236f03505ce6bd55f0d1109e11076ebfc8eb36b8,Phase 1.14 published M3-margin path
w85__r04_f04,4,4,80,80,244,1be7dfe6dfb931e04e0ac69afe43c2e78d631183f629d1fd6cdcb5e3eb042ba7,Phase 1.14 published M3-margin path
w85__r04_f05,4,5,16,16,308,b675c2df87f848138fc647aa90f59e47564520a7f5ba6b8ebb11c1e35855dc12,Phase 1.14 published M3-margin path
w85__r04_f05,4,5,24,24,300,d3fb7727ed924a8b1ad2fb0e4a91bd1f0dac99364a89f4bad0122a1a98a9771e,Phase 1.14 published M3-margin path
w85__r04_f05,4,5,32,32,292,3a647bd967ebba5e26417493aede067d6daf22c30ca8fb72f139947a13798ea4,Phase 1.14 published M3-margin path
w85__r04_f05,4,5,40,40,284,47afd8b8be982d7423d0d8f271ab57f967cb67cf0af4e601fbe08c5094766093,Phase 1.14 published M3-margin path
w85__r04_f05,4,5,60,60,264,f66e318be2c80c6b81e06bbf5e3911053a67ec4513dffa64fb729c3c525918e0,Phase 1.14 published M3-margin path
w85__r04_f05,4,5,80,80,244,4ba56d20301af5c46b9fda0c269670859d199823b251c5d102a38eddee029a73,Phase 1.14 published M3-margin path
w85__r05_f01,5,1,16,16,308,b2e516933a5c14242d64aff9eba914bd938e9f4018eebf8cc6ace6cb44809e0b,Phase 1.14 published M3-margin path
w85__r05_f01,5,1,24,24,300,910a8943db4c3004d51ba71feb1dd94cedd9e4c178c38a1db06951d4ef87408b,Phase 1.14 published M3-margin path
w85__r05_f01,5,1,32,32,292,995e39ab1ca1af5bcd1c1d0fde3bb5dd5d3db22003cdedbf17c77fdf1f6f72a5,Phase 1.14 published M3-margin path
w85__r05_f01,5,1,40,40,284,a595387d2d5e3d3f50af44104121e48b481bdfc440e981ef9ead127079ba09f5,Phase 1.14 published M3-margin path
w85__r05_f01,5,1,60,60,264,f73f32952910b0e9ff9d67418f59e5d51fe344f7a7b289e13bfbfc66bddf58aa,Phase 1.14 published M3-margin path
w85__r05_f01,5,1,80,80,244,75c49594a0bad7d0b5a6f8fe0b6610c914943c6816e8e857021bec3ab02b029b,Phase 1.14 published M3-margin path
