simulation_id,numeric_simulation_id,P,VX,LS,ST,melt_pool_depth_below_surface_selected_primary_scalar_target_m,depth_target_um,flag_primary_window_unstable,depth_bootstrap_variance_um2,depth_bootstrap_std_um,fold_index
sim_00155,155,77.2146242418,0.855104240805,5.17451748821e-05,369.375740917,2.680431e-05,26.80431,False,0.0001198751946869,0.0109487531110612,143
sim_00156,156,77.6071708937,0.433253784538,7.48831675656e-05,344.207921637,3.078383e-05,30.78383,False,2.4287027873648312e-05,0.0049281870777851,144
sim_00157,157,78.18378444,0.804643363326,4.5e-05,300.0,3.081813e-05,30.818129999999996,False,7.82466298452899e-05,0.008845712512019,145
sim_00158,158,78.3109819881,0.819836919071,8.42620704062e-05,359.367913591,1.877861e-05,18.77861,False,6.531651520942136e-06,0.0025557095924502,146
sim_00159,159,79.1315856604,0.738156089448,4.61026192486e-05,370.648100327,3.097721e-05,30.97721,False,0.0006308717132164,0.0251171597362525,147
sim_00160,160,82.6239965333,0.567384090403,6.29636633496e-05,368.216750002,2.970513e-05,29.70513,False,0.1351508067140505,0.3676286260807916,148
sim_00161,161,83.4130417347,0.322492976823,7.74299080266e-05,371.281013063,3.8774775e-05,38.774775,False,1.81537383746503e-05,0.0042607204055946,149
sim_00162,162,85.9171141482,0.437191097118,7.49853263212e-05,320.146293033,3.4748655e-05,34.748655,False,1.3748826130661152e-05,0.00370794095566,150
sim_00163,163,88.5362444224,0.501389667448,5.57799721508e-05,306.707884961,3.5046245e-05,35.046245,False,0.2032008353094488,0.4507780333040296,151
sim_00164,164,89.9091669401,0.254822282222,4.87644701271e-05,380.329545658,4.679579e-05,46.795790000000004,False,5.669489088176154e-06,0.0023810688961422,152
sim_00165,165,90.076179662,0.77719101666,5.40074605054e-05,384.823624425,3.175458e-05,31.75458,False,0.0289635606088577,0.1701868402928314,153
sim_00166,166,90.3577538021,0.606625134218,7.79676391387e-05,345.062824899,2.6793985e-05,26.793985,False,1.4998159212324735e-05,0.003872745694249,154
sim_00167,167,91.2790923782,0.717805590808,4.80270969425e-05,305.576577078,3.4791975e-05,34.791975,False,0.000283843823593,0.0168476652267632,155
sim_00168,168,92.0306358058,0.635786516528,6.85874395416e-05,348.651765165,3.076774e-05,30.767740000000003,False,0.0004218452497731,0.0205388716772157,156
sim_00169,169,93.2349412886,0.318136092994,6.37701091846e-05,373.005608841,4.282515e-05,42.82515,False,4.991384559118179e-06,0.0022341406757673,157
sim_00170,170,93.7887593651,0.596649793105,4.5e-05,300.0,4.608216e-05,46.08216,False,0.0001211246793686,0.0110056657848869,158
sim_00171,171,95.3163706926,0.805137875644,4.85393429372e-05,366.295455669,3.48804e-05,34.8804,False,8.481741421883553e-05,0.0092096370297007,159
sim_00172,172,96.3048792257,0.802808589305,5.4654094879e-05,371.269771919,3.468289e-05,34.68289,False,0.0011886327485246,0.0344765536056702,160
sim_00173,173,97.6596954152,0.666705631564,4.5e-05,300.0,4.279696e-05,42.79696,False,1.958679205451005e-05,0.0044256967874573,161
sim_00174,174,98.2720448178,0.404108184606,6.2082238115e-05,312.013044035,4.282524e-05,42.82524,False,4.420699251011618e-05,0.0066488339210809,162
sim_00175,175,98.5137427197,0.87794698955,7.93698578539e-05,325.506902574,2.681054e-05,26.81054,False,2.0423065949499223e-05,0.0045191886384061,163
sim_00176,176,98.6430415843,0.873233253177,7.66258838728e-05,323.115187787,2.682025e-05,26.82025,False,2.877037572534932e-05,0.0053638023570364,164
sim_00177,177,99.0936052974,0.300439480401,4.95355776339e-05,340.036700638,5.067512e-05,50.67512,False,2.9312543423950234e-05,0.0054141059671888,165
sim_00178,178,99.5435087092,0.559592851831,4.5e-05,300.0,5.0253045e-05,50.253045,False,6.771818872103952e-05,0.0082291061921109,166
sim_00179,179,99.7580068976,0.617169232141,5.71058654975e-05,337.763092798,3.826238e-05,38.26238,False,0.052874776017212,0.2299451587166211,167
