benchmark,metric,tolerance,surrogate_variant,acquisition_rule,method,mean_curve_first_budget,seed_0_first_budget,seed_1_first_budget,seed_2_first_budget,seed_3_first_budget,seed_4_first_budget
branin,near_boundary_error_q20,0.3,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,29,24,24,18,31,23
branin,near_boundary_error_q20,0.3,optimized_iso_gpc,random,random,36,20,null,29,37,11
branin,near_boundary_error_q20,0.25,fixed_iso_gpc,classifier_entropy,classifier_entropy,null,39,null,null,null,null
branin,near_boundary_error_q20,0.25,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,33,29,null,48,25
branin,near_boundary_error_q20,0.25,fixed_iso_gpc,classifier_margin,classifier_margin,null,39,null,null,null,null
branin,near_boundary_error_q20,0.25,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,29,25,null,37,24
branin,near_boundary_error_q20,0.25,fixed_iso_gpc,random,random,null,null,null,null,null,null
branin,near_boundary_error_q20,0.25,optimized_ard_gpc,classifier_entropy,classifier_entropy,43,32,37,39,24,28
branin,near_boundary_error_q20,0.25,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,39,31,39,35,33,40
branin,near_boundary_error_q20,0.25,optimized_ard_gpc,classifier_margin,classifier_margin,39,18,37,39,24,28
branin,near_boundary_error_q20,0.25,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,40,29,28,31,39,47
branin,near_boundary_error_q20,0.25,optimized_ard_gpc,random,random,null,null,null,null,null,null
branin,near_boundary_error_q20,0.25,optimized_iso_gpc,classifier_entropy,classifier_entropy,41,39,28,26,null,43
branin,near_boundary_error_q20,0.25,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,38,36,32,48,41,38
branin,near_boundary_error_q20,0.25,optimized_iso_gpc,classifier_margin,classifier_margin,36,26,28,26,43,43
branin,near_boundary_error_q20,0.25,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,32,33,27,21,33,30
branin,near_boundary_error_q20,0.25,optimized_iso_gpc,random,random,null,null,null,36,null,null
branin,near_boundary_error_q20,0.2,fixed_iso_gpc,classifier_entropy,classifier_entropy,null,null,null,null,null,null
branin,near_boundary_error_q20,0.2,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,null,null,null,null,null
branin,near_boundary_error_q20,0.2,fixed_iso_gpc,classifier_margin,classifier_margin,null,null,null,null,null,null
branin,near_boundary_error_q20,0.2,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,null,null,null,null,null
branin,near_boundary_error_q20,0.2,fixed_iso_gpc,random,random,null,null,null,null,null,null
branin,near_boundary_error_q20,0.2,optimized_ard_gpc,classifier_entropy,classifier_entropy,46,46,44,46,46,46
branin,near_boundary_error_q20,0.2,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,45,49,47,44,40,47
branin,near_boundary_error_q20,0.2,optimized_ard_gpc,classifier_margin,classifier_margin,48,41,44,46,46,46
branin,near_boundary_error_q20,0.2,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,47,47,50,41,40,50
branin,near_boundary_error_q20,0.2,optimized_ard_gpc,random,random,null,null,null,null,null,null
branin,near_boundary_error_q20,0.2,optimized_iso_gpc,classifier_entropy,classifier_entropy,47,46,30,41,null,47
branin,near_boundary_error_q20,0.2,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,44,35,null,43,49
branin,near_boundary_error_q20,0.2,optimized_iso_gpc,classifier_margin,classifier_margin,45,38,30,41,null,47
branin,near_boundary_error_q20,0.2,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,50,50,33,46,45,41
branin,near_boundary_error_q20,0.2,optimized_iso_gpc,random,random,null,null,null,null,null,null
branin,near_boundary_error_q30,0.45,fixed_iso_gpc,classifier_entropy,classifier_entropy,7,7,7,6,23,6
branin,near_boundary_error_q30,0.45,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,8,8,11,6,16,6
branin,near_boundary_error_q30,0.45,fixed_iso_gpc,classifier_margin,classifier_margin,7,7,7,6,23,6
branin,near_boundary_error_q30,0.45,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,8,8,10,6,16,6
branin,near_boundary_error_q30,0.45,fixed_iso_gpc,random,random,7,7,7,6,24,6
branin,near_boundary_error_q30,0.45,optimized_ard_gpc,classifier_entropy,classifier_entropy,7,6,9,6,17,6
branin,near_boundary_error_q30,0.45,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,13,6,17,6,25,6
branin,near_boundary_error_q30,0.45,optimized_ard_gpc,classifier_margin,classifier_margin,7,6,9,6,17,6
branin,near_boundary_error_q30,0.45,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,7,6,9,6,23,6
branin,near_boundary_error_q30,0.45,optimized_ard_gpc,random,random,8,6,8,6,21,6
branin,near_boundary_error_q30,0.45,optimized_iso_gpc,classifier_entropy,classifier_entropy,6,6,6,6,18,6
branin,near_boundary_error_q30,0.45,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,6,6,6,6,26,6
branin,near_boundary_error_q30,0.45,optimized_iso_gpc,classifier_margin,classifier_margin,6,6,6,6,18,6
branin,near_boundary_error_q30,0.45,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,6,6,6,6,27,6
branin,near_boundary_error_q30,0.45,optimized_iso_gpc,random,random,6,6,6,6,21,6
branin,near_boundary_error_q30,0.4,fixed_iso_gpc,classifier_entropy,classifier_entropy,8,8,7,6,23,6
branin,near_boundary_error_q30,0.4,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,12,8,16,6,17,6
branin,near_boundary_error_q30,0.4,fixed_iso_gpc,classifier_margin,classifier_margin,8,8,7,6,23,6
branin,near_boundary_error_q30,0.4,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,11,8,19,6,17,6
