benchmark_population,run_id,repeat,fold,method,formulation,train_pool_count,untouched_test_count,nominal_warm_start,effective_warm_start,final_budget,fit_count,fit_status_counts_json,optimizer_warning_count,unique_optimizer_warning_count,kernel_bound_hit_count,runtime_seconds,query_trajectory_sha256,warm_start_sha256,split_sha256,checkpoint_fingerprint
primary_common,primary_common__r02_f01,2,1,max_depth_random,max_depth,324,81,12,16,80,65,"{""optimized_primary"": 65}",0,0,0,18.29899680003291,104596e59be078bde31ffc12f1bca71c474b2105ea74437906356c5c45e5cf20,0b6c533c39d190bdeaec74d71d622a035f908da4dbfaa256cc17f50a1e27b4fa,5221cea598f039106c22ccdebba773fe22e7ecd05a08d55e48248c672122b30d,6a959d9f55799e78da6ba038d989ea8ecef9343f784163207a626cc6204b6e44
primary_common,primary_common__r02_f01,2,1,max_depth_boundary_proximity,max_depth,324,81,12,16,80,65,"{""optimized_primary"": 65}",0,0,0,13.544586300035007,ae02f2a5ba577e203326df78e1b1af456f73675385054138955872085bda5d90,0b6c533c39d190bdeaec74d71d622a035f908da4dbfaa256cc17f50a1e27b4fa,5221cea598f039106c22ccdebba773fe22e7ecd05a08d55e48248c672122b30d,092d17f239441d72babc500a1fc8aefec91976cbfdd25883c5e034cb5ff4e083
primary_common,primary_common__r02_f01,2,1,max_depth_straddle,max_depth,324,81,12,16,80,65,"{""optimized_primary"": 65}",0,0,0,13.278676999965683,d18e65278fd8ba9d05635a26c719b69fa7c60ac3213cfadda592c4577d441fd7,0b6c533c39d190bdeaec74d71d622a035f908da4dbfaa256cc17f50a1e27b4fa,5221cea598f039106c22ccdebba773fe22e7ecd05a08d55e48248c672122b30d,666878649c9205b82c3ac83ab27b888e0ac9bc25c1cddefc8d3f6eefff49acab
primary_common,primary_common__r02_f01,2,1,max_depth_randomized_straddle,max_depth,324,81,12,16,80,65,"{""optimized_primary"": 65}",0,0,0,12.852045400009956,2f60d267e924d94ab83b1e5d42c2016a87dfe15bf6eed05b6210d328e9e94157,0b6c533c39d190bdeaec74d71d622a035f908da4dbfaa256cc17f50a1e27b4fa,5221cea598f039106c22ccdebba773fe22e7ecd05a08d55e48248c672122b30d,a7dc5325515b946757668cb497211747de79ccab1e54dacff62871aaf863f442
primary_common,primary_common__r02_f01,2,1,max_depth_expected_feasibility,max_depth,324,81,12,16,80,65,"{""optimized_primary"": 65}",0,0,0,13.659197899978608,f544dffbfd1edf915559fc4a24113530eb892b178d9645b73f5ee0485501fcc3,0b6c533c39d190bdeaec74d71d622a035f908da4dbfaa256cc17f50a1e27b4fa,5221cea598f039106c22ccdebba773fe22e7ecd05a08d55e48248c672122b30d,cd1195fc3ccb1c42aadd347f8854399174ea33fa0756d5aaa7717af4e912d2b5
primary_common,primary_common__r02_f01,2,1,binary_random,binary,324,81,12,16,80,65,"{""optimized_primary"": 65}",8,1,8,4.889281399955507,104596e59be078bde31ffc12f1bca71c474b2105ea74437906356c5c45e5cf20,0b6c533c39d190bdeaec74d71d622a035f908da4dbfaa256cc17f50a1e27b4fa,5221cea598f039106c22ccdebba773fe22e7ecd05a08d55e48248c672122b30d,cef913d2676e3dd896686ab82a07de5e66ab41a9d1c8a4f844abe5f111aa7700
primary_common,primary_common__r02_f01,2,1,binary_margin,binary,324,81,12,16,80,65,"{""optimized_primary"": 65}",20,1,20,4.152309699973557,babe99f5f09d0da4ba3ddc54cfd9c311916f92af1b65a21e5e6dc5cdb268dca6,0b6c533c39d190bdeaec74d71d622a035f908da4dbfaa256cc17f50a1e27b4fa,5221cea598f039106c22ccdebba773fe22e7ecd05a08d55e48248c672122b30d,feb3c752030940a2729fe189f01b3ee599f26eab65f53c404613d46dda7ff334
primary_common,primary_common__r02_f01,2,1,binary_uncertainty_repulsion,binary,324,81,12,16,80,65,"{""optimized_primary"": 65}",20,1,20,4.339727199985646,a4c24eedd524a95de6359a0779910601da3dc1dae6c8069bf032d27b54a44b6f,0b6c533c39d190bdeaec74d71d622a035f908da4dbfaa256cc17f50a1e27b4fa,5221cea598f039106c22ccdebba773fe22e7ecd05a08d55e48248c672122b30d,c9715241f56ecb27bcc82df1da67f9f949db9e859aea46a4ba075dacf0b8b4fb
primary_common,primary_common__r02_f02,2,2,max_depth_random,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,22.54705389996525,5e4330e72f0e2a70262d220412ad7017b302e47f625ddb68a73049d12ab6e1cb,45cc7aca72bd19fbcdda1bfe1a031d027b71ecab8ae1031b3f5e3fb7c47b3f3f,9c48068a81fbc7d683712b2929ea2693471d0e44498e15673a69178c72d1c18a,c762c7085c07ef9dcb161a564b2f0ff964c2f060a001315dd4a41dc9d8c71290
primary_common,primary_common__r02_f02,2,2,max_depth_boundary_proximity,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,16.442236899980344,346b4053584af909f81ea082e7168c938b2d56802ee89c7b1e7e4d45c92de357,45cc7aca72bd19fbcdda1bfe1a031d027b71ecab8ae1031b3f5e3fb7c47b3f3f,9c48068a81fbc7d683712b2929ea2693471d0e44498e15673a69178c72d1c18a,d28c176a4e57ee8eee7e80e593e79631f145418bef9ec3914e7f535d293403c3
primary_common,primary_common__r02_f02,2,2,max_depth_straddle,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,15.307325100002345,5c056a2b174d7088cf9a74ef5ef75862d0de8b44ca4da2d9a153aed268f66450,45cc7aca72bd19fbcdda1bfe1a031d027b71ecab8ae1031b3f5e3fb7c47b3f3f,9c48068a81fbc7d683712b2929ea2693471d0e44498e15673a69178c72d1c18a,369092edb68e1a470c393345f1920f48bd170e79abb7dbc9a14d51dbca47bccd
