target,target_label,target_unit,varying_input,input_unit,profile,grid_index,input_value,predicted_mean,predictive_std,interval_lower_95,interval_upper_95,nearest_training_distance_standardized,support_distance_threshold,within_observed_support,reference_P,reference_VX,reference_LS,reference_ST,model_configuration,training_sample_size,interpretive_fit_not_out_of_sample_evaluation
width,T0 melt-pool width,um,P,W,median_reference,20,172.2949923766,152.81569685095477,1.5486469929316433,149.78034874480875,155.85104495710078,0.4255578191928033,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,21,175.76333466948,153.676495059019,1.5679563124934088,150.60330068653192,156.74968943150608,0.4447936008822719,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,22,179.23167696235998,154.51949794123198,1.5913379083007966,151.4004756409624,157.63852024150154,0.465660853582462,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,23,182.70001925524,155.34415522524753,1.6182162052522076,152.1724514629532,158.51585898754186,0.4879503120156017,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,24,186.16836154812,156.14996875006503,1.6480815965615732,152.91972882080435,159.3802086793257,0.5114760763679425,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,25,189.63670384099999,156.93649514164773,1.6804872862006035,153.64274006069454,160.23025022260092,0.5360754048275426,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,26,193.10504613388,157.70334789794362,1.7150389745580898,154.34187150780977,161.06482428807746,0.5616072434441427,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,27,196.57338842676,158.45019891630628,1.7513807273328148,155.01749269073397,161.88290514187858,0.5678981253886564,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,28,200.04173071964,159.17677947276195,1.7891799838804718,155.66998670435623,162.68357224116767,0.5651859418008635,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,29,203.51007301252,159.8828806488454,1.8281140547083894,156.29977710161697,163.46598419607383,0.564463293813118,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,30,206.9784153054,160.56835319597965,1.8678597566792137,156.9073480728884,164.2293583190709,0.5657378055062487,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,31,210.44675759828,161.2331068400546,1.9080871226323153,157.49325607969527,164.97295760041393,0.5689960565411188,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,32,213.91509989116,161.877109046749,1.9484574643802126,158.0581324165638,165.69608567693422,0.5742042784613405,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,33,217.38344218404,162.5003832971238,1.9886255186592632,158.60267728055163,166.39808931369595,0.5813100615944296,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,34,220.85178447692,163.103006946215,2.0282450029335726,159.1276467404652,167.0783671519648,0.5902448773874929,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,35,224.3201267698,163.68510875765148,2.066976672040242,159.6338344804526,167.73638303485035,0.6009271470961185,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,36,227.78846906268,164.24686621422708,2.10449788645609,160.12205035677314,168.37168207168102,0.6132655625547793,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,37,231.25681135556,164.78850270279216,2.1405127547661804,160.59309770345044,168.98390770213388,0.6271623853339946,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,38,234.72515364844,165.31028465789666,2.17476204638157,161.0477510469888,169.57281826880453,0.6425165042266763,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
