dataset,material,setting,repeat,fold,train_rows,test_rows,model,features,train_only_scaling,converged,n_iter,warnings,gamma_P,gamma_VX,sigma_P,sigma_VX,beta_P,beta_VX,alpha,beta_P_near_zero,alpha_extreme,alpha_valid,beta_P_positive,beta_VX_negative
transition_inclusive,Ti64,R1_C1,15,2,48,12,G,log_P|log_VX,True,True,7,,0.3662697653433777,-2.820690654964673,0.09299065746844823,0.5452228210125085,3.9387802529265175,-5.173464033890761,-1.3134685617576336,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,15,3,49,11,G,log_P|log_VX,True,True,7,,0.17121164625679117,-2.704641341024953,0.09206567102504785,0.5888272764067579,1.8596686946452652,-4.593267753371881,-2.4699387404851993,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,15,4,47,13,G,log_P|log_VX,True,True,7,,0.5305614062595257,-2.754028577835418,0.08911164377002269,0.5617761049633622,5.953895403711625,-4.902359771986084,-0.8233869491442493,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,16,0,48,12,G,log_P|log_VX,True,True,7,,0.28608963866933723,-2.767891378150028,0.10184151432036821,0.5737772426471639,2.80916520712143,-4.823982501258076,-1.717229904823306,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,16,1,47,13,G,log_P|log_VX,True,True,7,,0.357809744621045,-2.7551129659433364,0.09396989829908703,0.4725929267345377,3.8077059898714536,-5.829780367176175,-1.5310479282495721,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,16,2,49,11,G,log_P|log_VX,True,True,7,,0.3044903462408274,-2.7762715084983056,0.09203626013469764,0.5590349103250305,3.308373740906,-4.966186292165803,-1.5010959102842505,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,16,3,49,11,G,log_P|log_VX,True,True,7,,0.17029862464679943,-2.7792782939645253,0.08417371113084288,0.5805106202204435,2.0231806624526825,-4.787644182821531,-2.3663947919596637,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,16,4,47,13,G,log_P|log_VX,True,True,7,,0.45717365425480466,-2.759218287996304,0.09801357719737734,0.5962799950641303,4.66439107037344,-4.627386984028448,-0.9920666844210322,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,17,0,47,13,G,log_P|log_VX,True,True,8,,0.32067436706677593,-2.7858808458498006,0.09396989829908703,0.5545393944387601,3.4125222318123063,-5.023774458204801,-1.4721587485561372,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,17,1,49,11,G,log_P|log_VX,True,True,6,,0.3320437134218162,-2.792902063182578,0.09383737763975757,0.506968304249482,3.5385016266815836,-5.509026974215285,-1.5568812891522295,False,False,True,True,True
