experiment_name,selection_reason,row_index,time_us,depth_um,inside_T0,T0_depth_um,max_depth_um,G3_um,T0_start_time_us,T0_end_time_us,keyhole_timing_relative_to_T0
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34304,623.6219,6.959242,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34376,624.9295000000001,9.68895,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34448,626.2371,9.005281,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34520,627.5446999999999,8.950129,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34592,628.8522,9.362034000000001,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34664,630.1598,9.465612,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34736,631.4674,9.416652,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34808,632.775,9.351683000000001,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34880,634.0825,9.994113,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34952,635.3901000000001,9.945465,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,35024,636.6977,10.069930000000001,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,35096,638.0052999999999,10.14812,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,35168,639.3128,10.216660000000001,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,35240,640.6204,10.41525,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,35312,641.928,10.49366,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,35384,643.2356,10.46787,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,35456,644.5431,10.58883,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
