simulation_id,numeric_simulation_id,response,candidate,value_m,available,window_observation_count,window_cv,absolute_relative_trend,relative_difference_from_selected,laser_exits_domain_before_recording_end
sim_00108,108,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.871321500000001e-05,True,18830,0.0010360837355859616,0.0001704464100604432,0.0,False
sim_00109,109,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.482408e-05,True,12010,0.0022726842808331177,0.00490846456119477,0.0,True
sim_00110,110,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.272201e-05,True,14639,0.02730821926898173,0.0831611617524392,0.0,True
sim_00111,111,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.276215e-05,True,13726,0.027062600780837616,0.08043154116782489,0.0,True
sim_00112,112,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.479062e-05,True,11133,0.004474291871310862,0.007825859704846467,0.0,True
sim_00113,113,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.8775855000000004e-05,True,11624,0.012285412184586971,0.026953802272923832,0.0,True
sim_00114,114,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.484091e-05,True,10313,0.0017418150411772232,0.003912446426234459,0.0,True
sim_00115,115,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,8.6262795e-05,True,19110,0.022219982507965336,0.07031224324813456,0.0,False
sim_00116,116,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.677531e-05,True,11320,0.001290129835962043,0.001356831793683206,0.0,False
sim_00117,117,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.079587e-05,True,10843,0.0018617443811380285,0.003313675281917988,0.0,True
sim_00118,118,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.0738735e-05,True,11026,0.0012954633916133444,8.953088509927486e-05,0.0,False
sim_00119,119,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.455723500000001e-05,True,19742,0.055356458305373335,0.18793197411556306,0.0,False
sim_00120,120,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.885444e-05,True,11840,0.023958082521858055,0.07188115892546845,0.0,True
sim_00121,121,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.863609e-05,True,10781,0.025302916826280383,0.06753970822393908,0.0,True
sim_00122,122,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.8729635e-05,True,17622,0.0007202793529334227,0.0001939250857731359,0.0,False
sim_00123,123,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.332628e-05,True,19822,0.05567866953564795,0.19144468819214452,0.0,False
sim_00124,124,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,8.654001e-05,True,19481,0.1745237758464284,0.4682247817934512,0.0,False
sim_00125,125,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,8.26434e-05,True,18421,0.0010328802522723874,0.0007224171444878603,0.0,False
sim_00126,126,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,8.3136455e-05,True,19520,0.07158479714626109,0.24368264183946933,0.0,False
sim_00127,127,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.881311e-05,True,11661,0.006425099033012393,0.012852526682861163,0.0,False
sim_00128,128,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.266116e-05,True,12371,0.025981133027492824,0.07694799226881482,0.0,True
sim_00129,129,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.065698e-05,True,14919,0.029919757146774698,0.09157439725221622,0.0,True
sim_00130,130,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.3872535e-05,True,12828,0.033070368805851284,0.10870064709962834,0.0,True
sim_00131,131,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.207723499999999e-05,True,10840,0.028600299540099957,0.08876740180231509,0.0,True
sim_00132,132,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.264183e-05,True,11640,0.020561417397670523,0.05313864721023264,0.0,True
sim_00133,133,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.862242e-05,True,16329,0.0008450076887404976,0.001503490049910119,0.0,False
sim_00134,134,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.065929e-05,True,14802,0.04175957656043986,0.1398310784393767,0.0,True
sim_00135,135,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,8.271559e-05,True,19529,0.02166555409369287,0.056461559532280256,0.0,False
sim_00137,137,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.928099e-05,True,18785,0.14189758745818087,0.443157645749508,0.0,False
sim_00138,138,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.979165e-05,True,14899,0.040187315223284864,0.13268332398447966,0.0,True
sim_00139,139,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.825226e-05,True,19811,0.052783879129954636,0.18052786586741681,0.0,False
sim_00140,140,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.9763275e-05,True,14502,0.03235981723282986,0.1028775250760946,0.0,True
sim_00141,141,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.484386e-05,True,10526,0.0013528830018505118,0.00015116651671525695,0.0,True
sim_00142,142,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.275744e-05,True,11473,0.021874958918030672,0.059832195876710494,0.0,False
sim_00143,143,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,2.284292e-05,True,13713,0.004548920599371819,0.0035191221683847,0.0,False
sim_00144,144,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.079568e-05,True,13714,0.00243541809501871,0.0024076447134094466,0.0,False
sim_00145,145,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.8651335e-05,True,13716,0.002997811548547694,0.003943454190608028,0.0,False
sim_00146,146,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.88958e-05,True,13721,0.041025507524778175,0.1156015794114421,0.0,False
sim_00147,147,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,2.288304e-05,True,13642,0.0047365718326191015,0.0016733362591755876,0.0,False
sim_00148,148,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.081749e-05,True,13729,0.003760367079332383,0.0030875037239510646,0.0,False
sim_00149,149,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.4812685e-05,True,13732,0.003311936209828898,0.003535181100982083,0.0,False
sim_00150,150,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.485407e-05,True,13732,0.0027627379221231894,0.0002653038794113498,0.0,False
sim_00151,151,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,2.683881e-05,True,12528,0.004225135445745095,0.000375950981947837,0.0,False
sim_00152,152,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.074676e-05,True,13733,0.001681848714937633,0.0010113057967593027,0.0,False
sim_00153,153,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,2.66876e-05,True,14416,0.07015517723928376,0.21857875733509757,0.0,True
sim_00154,154,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,1.510266e-05,True,10219,0.1031894864253733,0.004107775063383406,0.0,True
sim_00155,155,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,2.680431e-05,True,11687,0.03149210476290662,0.06727930647008933,0.0,True
sim_00156,156,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.078383e-05,True,18504,0.002701573756675215,0.004367390201274604,0.0,False
sim_00157,157,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.081813e-05,True,13735,0.004637868801708278,0.0025735914247977075,0.0,False
sim_00158,158,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,1.877861e-05,True,12068,0.0032875315890413728,0.0009106736479269266,0.0,True
sim_00159,159,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.097721e-05,True,13558,0.06554070292550282,0.21028614689427158,0.0,True
sim_00160,160,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,2.970513e-05,True,17675,0.06580738772799549,0.21240094869544782,0.0,False
sim_00161,161,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.8774775e-05,True,17066,0.020410931570708554,0.051564445078524763,0.0,False
sim_00162,162,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.4748655e-05,True,18620,0.006690449742310966,0.014024674617956081,0.0,False
sim_00163,163,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.5046245e-05,True,19220,0.06512538723441134,0.21532018271884992,0.0,False
sim_00164,164,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.679579e-05,True,15545,0.001096980881191765,0.0008760437082381059,0.0,False
sim_00165,165,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.175458e-05,True,12909,0.05723800209849286,0.18750667216970351,0.0,True
sim_00166,166,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,2.6793985e-05,True,16520,0.036688015791769925,0.08644705216424654,0.0,True
sim_00167,167,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.4791975e-05,True,13982,0.065081199048979,0.21361883857835973,0.0,True
sim_00168,168,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.076774e-05,True,15797,0.05983733378465416,0.18413524989906369,0.0,True
sim_00169,169,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.282515e-05,True,17113,0.0013792847151795626,0.000491499784758123,0.0,False
