repeat,model,subset,row_count,keyhole_count,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,brier_score
4,gpc_4d_plus_early_p10,q30,111,39,0.961894586894587,0.918607105227523,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.07485906064138402
4,gpc_4d_plus_early_p10,q20,77,31,0.9333800841514728,0.8675348778471693,0.8831168831168831,0.8706171107994389,0.8064516129032258,0.9347826086956522,6,3,0.10255514398100411
4,gpc_4d_plus_early_p100,full,350,70,0.9926530612244897,0.9718755745602825,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.025455107864023916
4,gpc_4d_plus_early_p100,q30,111,39,0.961894586894587,0.918607105227523,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.07497923682322157
4,gpc_4d_plus_early_p100,q20,77,31,0.9333800841514728,0.8675348778471693,0.8831168831168831,0.8706171107994389,0.8064516129032258,0.9347826086956522,6,3,0.10271496241668188
4,gpc_4d_plus_early_p20,full,350,70,0.9926530612244897,0.9718755745602825,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.02544791405958128
4,gpc_4d_plus_early_p20,q30,111,39,0.961894586894587,0.918607105227523,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.07496483071618294
4,gpc_4d_plus_early_p20,q20,77,31,0.9333800841514728,0.8675348778471693,0.8831168831168831,0.8706171107994389,0.8064516129032258,0.9347826086956522,6,3,0.10269613163985475
4,gpc_4d_plus_early_p40,full,350,70,0.9926530612244897,0.9718755745602825,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.025455107864023916
4,gpc_4d_plus_early_p40,q30,111,39,0.961894586894587,0.918607105227523,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.07497923682322157
4,gpc_4d_plus_early_p40,q20,77,31,0.9333800841514728,0.8675348778471693,0.8831168831168831,0.8706171107994389,0.8064516129032258,0.9347826086956522,6,3,0.10271496241668188
5,gpc_4d,full,350,70,0.9919897959183673,0.9725133006774163,0.9771428571428571,0.9589285714285715,0.9285714285714286,0.9892857142857143,5,3,0.024298052249456303
5,gpc_4d,q30,113,37,0.9537695590327169,0.908014150290186,0.9292035398230089,0.9126955903271693,0.8648648648648649,0.9605263157894737,5,3,0.07279688662863708
5,gpc_4d,q20,76,31,0.921146953405018,0.8841765086877733,0.9078947368421053,0.9021505376344086,0.8709677419354839,0.9333333333333333,4,3,0.09969780472416853
5,gpc_4d_plus_early_p02,full,350,70,0.9920918367346939,0.9721853254373464,0.98,0.9660714285714286,0.9428571428571428,0.9892857142857143,4,3,0.02439359637720668
5,gpc_4d_plus_early_p02,q30,113,37,0.9601706970128022,0.9173399194883796,0.9380530973451328,0.9262091038406828,0.8918918918918919,0.9605263157894737,4,3,0.07080417394184489
5,gpc_4d_plus_early_p02,q20,76,31,0.9354838709677419,0.899686111320964,0.9210526315789473,0.9182795698924731,0.9032258064516129,0.9333333333333333,3,3,0.09696556760695954
5,gpc_4d_plus_early_p05,full,350,70,0.9926530612244898,0.9740798482708509,0.98,0.9660714285714286,0.9428571428571428,0.9892857142857143,4,3,0.023487230814644842
5,gpc_4d_plus_early_p05,q30,113,37,0.9630156472261735,0.9206549026001223,0.9380530973451328,0.9262091038406828,0.8918918918918919,0.9605263157894737,4,3,0.0682437706059884
