subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,brier_score,True,-0.001997958907002376,-0.0036629103740159086,-0.0002773259704157559,0.038498075096245185,20,0.11549422528873556
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,roc_auc,False,-3.6481501537549696e-05,-0.00046936079571696697,0.00042209340343918593,0.8658567071646418,20,1.0
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,pr_auc,False,-0.0007997641477727913,-0.0022212358915119,0.0003257777966911391,0.28208589570521475,20,1.0
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,accuracy,False,2.1907916645802493e-07,-0.0032552973342446943,0.003255740969556777,1.0,20,1.0
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,balanced_accuracy,False,0.0005294746387279725,-0.0030093110912076506,0.004236064023458003,0.7833108344582771,20,1.0
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,keyhole_recall,False,0.0032369795804862546,-0.003448275862068961,0.00992223502304147,0.5023248837558122,20,1.0
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,conduction_recall,False,-0.002178030303030304,-0.005492424242424243,0.0,0.49632518374081297,20,
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,false_negative,True,-0.1,-0.3,0.1,0.6259187040647968,20,
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,false_positive,True,0.1,0.0,0.25,0.5003249837508125,20,
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,brier_score,True,-3.2478690845854505e-05,-0.00027629921642036896,0.0002352139943767607,0.8129593520323983,20,1.0
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,roc_auc,False,0.004214099768178064,0.002833356252950801,0.005624411282099308,4.999750012499375e-05,20,0.0002999850007499625
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,pr_auc,False,0.006863227640379399,0.0034706907165218404,0.01083262891560315,0.00034998250087495624,20,0.001399930003499825
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,accuracy,False,0.0019648855175170956,-0.00462310241915504,0.008569938833096721,0.5919204039798011,20,1.0
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,balanced_accuracy,False,0.0028638529717476104,-0.0050592447571816855,0.011230726706539199,0.5078746062696865,20,1.0
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,keyhole_recall,False,0.006793527199533872,-0.007905046612638383,0.02182834101382487,0.407929603519824,20,1.0
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,conduction_recall,False,-0.001065821256038646,-0.0054861111111111135,0.003306159420289867,0.816159192040398,20,
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,false_negative,True,-0.2,-0.65,0.25,0.5312234388280586,20,
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,false_positive,True,0.05,-0.15,0.25,1.0,20,
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,brier_score,True,-0.0026272529013528405,-0.0032960340935056943,-0.001920807589407164,0.00014999250037498125,20,0.0007499625018749063
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,roc_auc,False,0.0018101302247841733,-1.742477305515061e-05,0.0036540261252184735,0.07649617519124044,20,0.26598670066496677
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,pr_auc,False,0.0048112995729839795,0.001045166002377354,0.008556133619332757,0.02689865506724664,20,0.16139193040347982
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,accuracy,False,0.000856800657685608,-0.003173264538170509,0.0048665407556447255,0.8254087295635218,20,0.8254087295635218
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,balanced_accuracy,False,0.003053646139623045,-0.002050789695087218,0.00831642754936729,0.27888605569721514,20,0.5577721113944303
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,keyhole_recall,False,0.009532710848500315,0.0002070567531093795,0.019065467289151483,0.04824758762061897,20,0.24123793810309485
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,conduction_recall,False,-0.0034254185692541906,-0.006174657534246575,-0.001333333333333342,0.06334683265836707,20,
